,url,comment,page_file
36511,/comment/36511,"I support the continuation of the Rondeau cottage community in perpetuity.
I support the three-year lease extension as described in ERO Policy Proposal 019-0907.
This lease extension should be granted automatically to all existing leaseholders.
This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-0.json
36513,/comment/36513,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-0.json
36514,/comment/36514,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-0.json
36515,/comment/36515,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-0.json
36516,/comment/36516,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-1.json
36517,/comment/36517,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-1.json
36518,/comment/36518,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible. I appreciate the opportunity to share my thoughts.
",comments-1.json
36520,/comment/36520,"I support the Rondeau community. I support the 3 year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted to all existing leaseholders automatically. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented.
",comments-1.json
36521,/comment/36521,"support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-1.json
36523,/comment/36523,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-1.json
36525,/comment/36525,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-1.json
36526,/comment/36526,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-1.json
36527,/comment/36527,"My comment on Proposal 019-0907. : I strongly agree to the proposed 3 year extension to the existing Rondeau Lease so that a long term extension can be studied and executed. It would also seem to make sense to automatically extend the existing  lease for the 3 years versus requiring signing a new 3 year lease. My hope is that this effort turns into a long term lease which will be great for the Chatham-Kent community.
",comments-1.json
36529,/comment/36529,"I am pleased to see that you want to opinions to be heard. I hope this doesn't continue to drag things on though. I just recently discovered Rondeau and love spending time in this hidden gem of Canada. We bought a cottage knowing the lease would be decided soon. So I hope the people come to reasonable solution before 3 years . I have attended many events in Rondeau and noticed how everyone talks about how great things used to be. It seems to me that nowadays we are losing the ability to enjoy and share things that seemed natural to do when we were young. A few bad apples ruin the fun for everyone else right? Well since becoming a cottage owner I feel that we are the protectors of the land and animals here. We clean up after the visitors that don't care. We watch out for destructive and dangerous activities. All while supporting the local community and businesses. If the cottages were to be removed it would destroy many habitats as well as the local towns. If we work together we can make things better even if we can't go back to the good old days . Why are they called that anyways?
",comments-1.json
36530,/comment/36530,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-1.json
36532,/comment/36532,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-1.json
36537,/comment/36537,"My family has been part of Rondeau Park for close to 100 years.  It has been a special place to raise our family for 4 generations.   The cottage owners has made significant contributions to the the natural beauty of Rondeau as well as to the economy of the surrounding communities.  It would be a disaster if this ended.   The 3 year extension is an acceptable and much needed idea to allow all parties to come to a permanent solution.    It will give all parties the breathing room to produce something beneficial to to everyone.   We all want the Park to continue to be a vital part of Chatham Kent.
",comments-1.json
36539,/comment/36539,"We and our family support the continuation of the Rondeau cottage community forever. We support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. As we are snowbirds and out of country this would eliminate time restraints in this signed and done. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-1.json
36540,/comment/36540,"I am 100% in favour of this proposal. I am a cottage in Rondeau. My family has been also for over 100 years. It is long over due. A permanent solution needs to be found for permanent occupation of cottages in Rondeau.  I would expect that the 3 year time frame is more than ample time to find and ratify a solution.  I also would expect or hope that I do not have to sign another lease extension document at the last minute as We did 2 years ago for this 3 year period. It should be automatic.
",comments-1.json
36543,/comment/36543,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-2.json
36544,/comment/36544,"I support Rondeau cottages forever.
I support the 3 year lease extension as described in ERO Policy Proposal 019-0907.
I support automatic implementation of the extension to save time, money and hassle for the government and the cottagers.
I support a rapid implementation of a permanent solution that will ensure the cottage community remains forever.
",comments-2.json
36545,/comment/36545,"I am in favour of the lease extension for the cottages at Rondeau Provincial Park and strongly in favour of a rapid and permanent solution for long term occupation of cottage lots.  I support the continuation of the Rondeau cottage community in perpetuity as well as an automatic lease extension to all exisitng leaseholders.
",comments-2.json
