ADDRESSNUM,ADDRESSSTR,ASSETTYPE,SIDE,WARD,Lon,Lat
993,Queen St W,Post & Ring,South,19,-79.41553116,43.644771171107976
50,Wabash Ave,Post & Ring,North,14,-79.44342613,43.64784553242234
160,Bloor St E,Post & Ring,East,27,-79.3832159,43.67150353180173
960,Pape Ave,Post & Ring,West,29,-79.34806824,43.68723931946798
146,Spadina Ave,Post & Ring,West,20,-79.396348,43.64809395878868
869,Bloor St W,Post & Ring,South,19,-79.42475796,43.66209733349595
354,Lansdowne Ave,Post & Ring,West,18,-79.44106579,43.65355908
1237D,Woodbine Ave,Post & Ring,East,31,-79.31588173,43.69316632704755
240,Mc Caul St,Post & Ring,West,20,-79.39330101,43.65852693836504
1284,Bloor St W,Rack,East,18,-79.4416666,43.658682177350954
133,Crawford St,Post & Ring,East,19,-79.41501617,43.645920193245644
1543,Eglinton Ave W,Post & Ring,South,15,-79.4413662,43.697510358506236
369,Front St W,Post & Ring,South,20,-79.39227104,43.64306312461076
20,Grosvenor St,Post & Ring,North,27,-79.38497543,43.66290452383666
41,Mill St,Post & Ring,South,28,-79.36051369,43.65051606201462
1615,Dupont St,Post & Ring,South,18,-79.45484161,43.664891407668904
575,Bay St,Post & Ring,South,27,-79.38313007,43.65576361726025
1A,Atlantic Ave,Rack,East,19,-79.41965103,43.63613727482266
230,The Esplanade,Post & Ring,North,28,-79.36519146,43.64958449540984
428,Summerhill Ave,Post & Ring,North,27,-79.37587738,43.68612212154747
1094,Bloor St W,Rack,West,18,-79.43419933,43.66023454513501
215,Richmond St W,Post & Ring,South,20,-79.38883781,43.64942923290431
333,Harbord St,Post & Ring,South,19,-79.41862106,43.65961360283774
1376,Yonge St,Post & Ring,West,22,-79.39338684,43.686215222168926
1029,King St W,Post & Ring,South,19,-79.41626072,43.64110658
344,Dupont St,Post & Ring,South,21,-79.40965176,43.67532146891088
31,Trinity St,Post & Ring,South,28,-79.35918331,43.65082658100536
390,Bay St,Post & Ring,West,28,-79.38149929,43.65141656266479
1751,Lake Shore Blvd W,Post & Ring,South,13,-79.45582867,43.63790763524895
1839,Queen St E,Post & Ring,South,32,-79.30708408,43.668368296140585
44,St George St,Post & Ring,South,20,-79.39759254,43.66020349817268
14,Irwin Ave,Post & Ring,North,27,-79.38694954,43.66659883342339
1440,Dundas St W,Post & Ring,North,18,-79.43029404,43.64964660029969
330,Lansdowne Ave,Post & Ring,West,18,-79.44059372,43.65209969
25,Dockside Dr,Post & Ring,South,28,-79.36695099,43.642907845248374
782,Broadview Ave,Post & Ring,West,29,-79.3588829,43.67687340642837
20,King St W,Post & Ring,North,28,-79.37909603,43.64896344297955
295,Harbord St,Post & Ring,South,19,-79.41540241,43.660296639011534
720,King St W,Post & Ring,North,19,-79.40398693,43.643746349037286
15,Market St,Post & Ring,East,28,-79.37171459,43.64818711841116
972,Queen St E,Post & Ring,East,30,-79.34008598,43.66125909
6,Oxford St,Post & Ring,West,20,-79.39982414,43.65691242911896
732,Bloor St W,Post & Ring,South,20,-79.4184494,43.66392901902461
1,Charles St E,Post & Ring,South,27,-79.38587666,43.66864768022239
469,Front St E,Post & Ring,South,28,-79.35596466,43.652969118285455
88,University Ave,Post & Ring,West,20,-79.38454628,43.646913924397666
411,Church St,Post & Ring,South,27,-79.38021183,43.66265615873391
387,Bloor St E,Post & Ring,South,27,-79.37759399,43.67209331030682
20,St Andrew St,Rack,North,20,-79.39986706,43.65421113388416
540,Kingston Rd,Post & Ring,North,32,-79.30141926,43.67814596524221
1304,Queen St E,Post & Ring,North,30,-79.3281126,43.663773793604804
425,Bloor St W,Post & Ring,East,20,-79.40518856,43.66619526444617
20,St George St,Post & Ring,West,20,-79.39656258,43.659303129280914
31,Britain St,Post & Ring,South,28,-79.37081337,43.65365223004352
55,Dundas St W,Post & Ring,South,27,-79.38278675,43.65582571576047
650,Dupont St,Post & Ring,North,20,-79.42046642,43.671907065089215
95,Lake Shore Blvd E,Post & Ring,West,28,-79.37205791,43.64458484112279
528,Church St,Post & Ring,West,27,-79.38064098,43.66479827395827
1012,Gerrard St E,Post & Ring,North,30,-79.33836937,43.66864768022239
16,Orde St,Post & Ring,North,20,-79.39167023,43.65837169897779
191,Sherbourne St,Post & Ring,East,28,-79.37029839,43.65688138043882
35,St George St,Post & Ring,East,20,-79.39630508,43.659303129280914
238,Queens Quay W,Post & Ring,South,20,-79.38437462,43.63911890443504
35,Front St E,Post & Ring,South,28,-79.37497616,43.64775237227008
521,Bloor St W,Post & Ring,South,20,-79.40905094,43.66551229538058
257,Danforth Ave,Post & Ring,South,30,-79.35472012,43.67690444476932
1665,Bloor St W,Post & Ring,South,14,-79.45642948,43.65535997544353
30,Donlands Ave,Post & Ring,West,29,-79.33772564,43.68100136484381
2144,Yonge St,Post & Ring,West,22,-79.39780712,43.703684547376525
20,Brant St,Post & Ring,West,20,-79.3980217,43.64573386682446
31,Prince Arthur Ave,Post & Ring,South,20,-79.39694881,43.66939269808293
95A,Bloor St W,Post & Ring,East,27,-79.39081192,43.66917540216221
87,Osler St,Post & Ring,East,18,-79.45767403,43.66672300794744
1432,Gerrard St E,Post & Ring,North,30,-79.32197571,43.67234163636448
108,Hallam St,Post & Ring,East,19,-79.4304657,43.66756117926593
230,College St,Post & Ring,North,20,-79.39845085,43.658278555152776
176,Elm St,Post & Ring,North,20,-79.38956738,43.656291452465126
765,Queen St W,Post & Ring,South,19,-79.40784931,43.64635495
319,Queens Quay W,Post & Ring,South,20,-79.38742161,43.63781445968479
268,Roncesvalles Ave,Post & Ring,South,14,-79.44917679,43.64713130089581
163,Dufferin St,Post & Ring,East,14,-79.42595959,43.63557820279905
55,Halton St,Post & Ring,East,19,-79.4201231,43.6480008
1,Isabella St,Post & Ring,South,27,-79.38527584,43.667530136092495
2146,Danforth Ave,Post & Ring,North,31,-79.31116104,43.68612212154747
839,Yonge St,Post & Ring,East,27,-79.38802242,43.67355221118146
2751,Danforth Ave,Post & Ring,South,32,-79.29729939,43.68910126976306
895,Queen St W,Post & Ring,South,19,-79.41179752,43.645547539825344
93,Charles St W,Post & Ring,South,27,-79.39257145,43.66737491998441
1170,Bay St,Post & Ring,West,27,-79.38930988,43.66902019030863
805,Dovercourt Rd,Post & Ring,East,19,-79.42969322,43.66271825010594
754,Bay St,Post & Ring,West,27,-79.38553333,43.65983093337226
3079,Danforth Ave,Post & Ring,West,35,-79.28708553,43.691211410224895
700,Queen St E,Post & Ring,North,30,-79.35012817,43.65886846360422
35,Front St E,Post & Ring,South,28,-79.37501907,43.647721318853854
162,Bloor St W,Rack,East,27,-79.39415932,43.66920644448476
791,St Clair Ave W,Post & Ring,South,21,-79.42977905,43.68072203827066
40,Mc Caul St,Post & Ring,West,20,-79.39033985,43.651571820032956
108,Gladstone Ave,Post & Ring,West,18,-79.42857742,43.64607546482182
44,Charles St W,Post & Ring,East,27,-79.38896656,43.66874080796069
475,Front St E,Post & Ring,South,28,-79.35562134,43.65306227034637
149,Roncesvalles Ave,Post & Ring,East,14,-79.44797516,43.643839515402505
219,Dufferin St,Post & Ring,East,14,-79.42638874,43.636665282513405
295,College St,Post & Ring,South,20,-79.40149784,43.65759549602106
66,Harbord St,Post & Ring,North,20,-79.40175533,43.66321497877021
1209,King St W,Post & Ring,South,14,-79.42681789,43.63896361487835
248,Bloor St W,Post & Ring,North,20,-79.39810753,43.66796474
51,Parliament St,Post & Ring,East,28,-79.36274529,43.65194443607905
40,Rossmore Rd,Post & Ring,West,20,-79.41493034,43.67097583033177
90,Gerrard St W,Post & Ring,East,27,-79.38647747,43.658589034007576
12,Grosvenor St,Post & Ring,North,27,-79.38476086,43.662935569402265
1571,Dupont St,Post & Ring,South,18,-79.45333958,43.66520185232747
458,Richmond St W,Post & Ring,North,20,-79.39742088,43.64775237227008
339,Roncesvalles Ave,Post & Ring,East,14,-79.45016384,43.649491337954686
271,Gledhill Ave,Post & Ring,East,31,-79.31206226,43.69502809334858
406A,Bloor St W,Post & Ring,North,20,-79.40784931,43.66588482492509
400,Eastern Ave,Post & Ring,North,30,-79.34514999,43.65709872086288
81,Harbord St,Post & Ring,South,20,-79.4033432,43.66274929576787
595,Bay St,Post & Ring,North,27,-79.3832159,43.65591886339038
9,Hewitt Ave,Post & Ring,South,14,-79.45158005,43.65241020288565
223,College St,Post & Ring,South,20,-79.39720631,43.65837169897779
522,University Ave,Rack,South,20,-79.38930988,43.656167256363744
1319,Dundas St W,Post & Ring,South,18,-79.42621708,43.649398180355035
1,Isabella St,Post & Ring,South,27,-79.38527584,43.667530136092495
311X,Queens Quay W,Post & Ring,South,20,-79.38832283,43.63834245
14,Queen St W,Post & Ring,North,27,-79.38021183,43.652285998757065
126,Denison Ave,Post & Ring,West,20,-79.40244198,43.65203758972933
1006,Danforth Ave,Post & Ring,North,29,-79.33686733,43.68056686
491,Bay St,Post & Ring,East,27,-79.38313007,43.65458373355483
223,Davenport Rd,Post & Ring,South,27,-79.39561844,43.67482484042827
50,Carlton St,Post & Ring,North,27,-79.38034058,43.66172478044746
170,Avenue Rd,Post & Ring,South,20,-79.39716339,43.67544562538933
1034,Kingston Rd,Post & Ring,North,32,-79.28459644,43.68084618357483
42,Pardee Ave,Post & Ring,West,14,-79.42274094,43.63750387342736
490,University Ave,Post & Ring,West,20,-79.38870907,43.655173678305346
792,King St W,Post & Ring,North,19,-79.40686226,43.64312523624335
1026,Danforth Ave,Post & Ring,North,29,-79.33660984,43.68062892912394
415,Donlands Ave,Post & Ring,East,29,-79.34278965,43.69431442309809
1370,Queen St W,Post & Ring,North,14,-79.4329977,43.641386086257285
147,Dundas St E,Post & Ring,East,27,-79.37549114,43.65669509
17,Fort York Blvd,Other,South,20,-79.3941164,43.640143805443444
61,Bellevue Ave,Post & Ring,South,20,-79.40351486,43.654925281222035
305,Lansdowne Ave,Post & Ring,South,18,-79.43982124,43.65098183989866
1819,Yonge St,Post & Ring,East,22,-79.39617634,43.69685877
37,Shuter St,Post & Ring,South,27,-79.37772274,43.65445953392148
817,Broadview Ave,Post & Ring,East,29,-79.35828209,43.678518416374914
30,Breadalbane St,Post & Ring,North,27,-79.38587666,43.66358752257122
310,Adelaide St W,Post & Ring,North,20,-79.39145565,43.64765921197332
11,Brock Ave,Post & Ring,East,14,-79.4324398,43.64206933
14,Grenville St,Rack,North,27,-79.38420296,43.662066287496884
89,Howard Park Ave,Post & Ring,South,14,-79.4525671,43.65113709839065
51,Donlands Ave,Post & Ring,East,29,-79.33759689,43.68149794220733
697,Queen St W,Post & Ring,South,19,-79.40531731,43.64685182
724,Pape Ave,Post & Ring,West,29,-79.34536457,43.680070271209246
94,Berkeley St,Post & Ring,West,28,-79.36510563,43.65365223004352
104,Bathurst St,Post & Ring,West,19,-79.40295696,43.644243234648854
150,College St,Post & Ring,North,20,-79.3921423,43.65955150825482
1667,Queen St E,Post & Ring,South,32,-79.31313515,43.666971356224934
90,College St,Post & Ring,North,27,-79.38776493,43.66054501387546
256,Roncesvalles Ave,Post & Ring,North,14,-79.44887638,43.646417060876615
12,Grosvenor St,Post & Ring,North,27,-79.38480377,43.66290452383666
1045,Pape Ave,Post & Ring,East,29,-79.34875488,43.689597780080135
70,Spadina Rd,Post & Ring,West,20,-79.40553188,43.670603332382996
425,Bloor St W,Post & Ring,East,20,-79.40518856,43.66625735215774
843,Palmerston Ave,Rack,East,20,-79.41604614,43.671348325968694
45,Carlton St,Post & Ring,South,27,-79.38051224,43.66153850305628
1394,Bloor St W,Post & Ring,North,18,-79.44703102,43.65750235099193
300,Victoria St,Rack,South,27,-79.38034058,43.657564447694085
130-140,St George St,Post & Ring,West,20,-79.39875126,43.66417737886144
663,Bloor St W,Post & Ring,South,19,-79.41570282,43.66408424404304
1116,Queen St E,Post & Ring,North,30,-79.33540821,43.662159425445935
366,King St E,Post & Ring,North,28,-79.36192989,43.65355908
300,Victoria St,Rack,South,27,-79.38034058,43.657564447694085
92,Queens Quay W,Post & Ring,North,28,-79.3790102,43.64051649238465
130-140,St George St,Post & Ring,West,20,-79.39870834,43.66417737886144
51,Dockside Dr,Post & Ring,South,28,-79.36497688,43.64421217941856
773,Yonge St,Post & Ring,East,27,-79.38720703,43.67156561402254
600,Fleet St,Post & Ring,North,19,-79.4005537,43.63647893
448,Dufferin St,Post & Ring,West,18,-79.42960739,43.644615896160445
677,Queen St E,Post & Ring,South,30,-79.35107231,43.65852693836504
115,Howard Park Ave,Post & Ring,South,14,-79.45261002,43.65113709839065
32,Eglinton Ave W,Post & Ring,North,16,-79.39978123,43.70650770832265
256,Queen St W,Post & Ring,North,20,-79.3915844,43.64983291
82,Maitland St,Post & Ring,East,27,-79.38046932,43.66486036311474
1090,Bloor St W,Post & Ring,North,18,-79.43402767,43.66023454513501
274,Spadina Ave,Post & Ring,West,20,-79.39810753,43.652534406757354
246,Bloor St W,Post & Ring,West,20,-79.39754963,43.668182039363586
700,Bay St,Post & Ring,South,27,-79.38519001,43.658340651052185
167,College St,Post & Ring,East,20,-79.39334393,43.65905474927956
176,Elm St,Post & Ring,North,20,-79.38952446,43.656291452465126
222,Jarvis St,Post & Ring,West,27,-79.3751049,43.65818541118327
365,Front St W,Post & Ring,South,20,-79.39201355,43.64312523624335
610,Bay St,Post & Ring,South,27,-79.38428879,43.656291452465126
145,Queen St W,Post & Ring,East,28,-79.38617706,43.65054711398591
36,Wagstaff Dr,Post & Ring,North,30,-79.33043003,43.673645331309785
1274,Bloor St W,Post & Ring,North,18,-79.44128036,43.65871322509997
319,Queens Quay W,Post & Ring,South,20,-79.38742161,43.637721283976134
766,College St,Post & Ring,East,19,-79.42025185,43.65504947989214
425,University Ave,Post & Ring,East,27,-79.3876791,43.65418008380726
180,Richmond St W,Post & Ring,West,20,-79.38664913,43.65029869776589
1,Howland Rd,Post & Ring,North,30,-79.34682369,43.666754051538334
940,King St W,Post & Ring,North,19,-79.41149712,43.642193555011886
484,Dundas St W,Post & Ring,North,20,-79.39707756,43.65318647286952
466,Sherbourne St,Post & Ring,West,27,-79.37450409,43.666505702361775
340,Front St W,Post & Ring,North,20,-79.3915844,43.64343579344302
400,King St W,Post & Ring,North,20,-79.39304352,43.645920193245644
815,College St,Post & Ring,South,19,-79.42201138,43.65445953392148
250,Dundas St W,Post & Ring,North,20,-79.38978195,43.65461478342303
1228,St Clair Ave W,Post & Ring,North,17,-79.44527149,43.677556246220576
20,Dundas St W,Post & Ring,North,27,-79.38158512,43.656260403463875
163,Queen St E,Post & Ring,West,28,-79.37205791,43.65377643134653
118,Chatham Ave,Post & Ring,South,30,-79.33673859,43.67972887
1274,Dundas St W,Post & Ring,North,18,-79.42510128,43.649491337954686
356,King St W,Post & Ring,North,20,-79.39064026,43.646448114967086
904,Logan Ave,Post & Ring,North,29,-79.3499136,43.67802181435087
112,Danforth Ave,Post & Ring,North,29,-79.35836792,43.67637679078973
55,Elm St,Post & Ring,West,27,-79.38441753,43.65712976943067
140,St George St,Post & Ring,South,20,-79.39922333,43.66532602974135
4,St Joseph St,Post & Ring,North,27,-79.38540459,43.66604004488633
1460,Dundas St W,Post & Ring,North,18,-79.43085194,43.64967765272053
838,Bloor St W,Post & Ring,North,19,-79.42394257,43.66240779260369
170,Vaughan Rd,Post & Ring,West,21,-79.42218304,43.68602902078155
24,Wellesley St W,Post & Ring,North,27,-79.38591957,43.66467409545265
233,Carlaw Ave,Post & Ring,East,30,-79.34077263,43.66299766
35,Britain St,Post & Ring,South,28,-79.37038422,43.65374538104487
2044,Queen St E,Post & Ring,East,32,-79.29798603,43.67069645708693
1240,Dundas St W,Post & Ring,North,19,-79.42398548,43.649491337954686
33,Russell St,Post & Ring,South,20,-79.39948082,43.65983093337226
56,Atlantic Ave,Post & Ring,West,14,-79.42050934,43.63800081066864
1374,Queen St W,Post & Ring,North,14,-79.43316936,43.64135502954997
25,Dockside Dr,Post & Ring,South,28,-79.36579227,43.64331157
707,St Clair Ave W,Post & Ring,South,21,-79.42686081,43.68131172617768
526,Oakwood Ave,Post & Ring,West,15,-79.44063663,43.69204923952324
91,Bellevue Ave,Rack,East,20,-79.40398693,43.656167256363744
83,Nassau St,Post & Ring,South,20,-79.40351486,43.65489423151439
208,Niagara St,Post & Ring,East,19,-79.40819263,43.64352896028984
311,Sherbourne St,Post & Ring,North,28,-79.37180042,43.66138327145546
403,Parliament St,Post & Ring,East,28,-79.3669939,43.662190471396826
682A,Bloor St W,Post & Ring,North,20,-79.41673279,43.66399110908014
90,College St,Post & Ring,North,27,-79.38785076,43.660513967073655
425,Adelaide St W,Post & Ring,South,20,-79.39780712,43.646199681793775
579,Richmond St W,Post & Ring,South,20,-79.40269947,43.646572331168414
1942,Davenport Rd,Post & Ring,North,17,-79.45595741,43.67035499913274
74,Front St E,Post & Ring,North,28,-79.37300205,43.64890133738331
320,Huron St,Post & Ring,West,20,-79.39986706,43.66287347825502
1982,Danforth Ave,Post & Ring,North,31,-79.31472301,43.68534627741616
70,East Liberty St,Post & Ring,North,19,-79.41462994,43.63877726688051
213,Delaware Ave,Rack,East,19,-79.42806244,43.66200419545055
345,Carlaw Ave,Post & Ring,East,30,-79.34163094,43.66517080793386
431,Donlands Ave,Post & Ring,South,29,-79.34283257,43.69477986
493,Dundas St W,Post & Ring,South,20,-79.39763546,43.65293806756634
522,King St W,Post & Ring,North,20,-79.39729214,43.64508171979898
190,John St,Post & Ring,South,20,-79.39201355,43.65107499504202
650,Fleet St,Post & Ring,East,19,-79.40630436,43.63713116779934
189,Roncesvalles Ave,Post & Ring,East,14,-79.44844723,43.64495750051523
178,Hampton Ave,Post & Ring,West,30,-79.35283184,43.67724586546012
416,Dawes Rd,Post & Ring,West,31,-79.29704189,43.70117151205338
219,Fort York Blvd,Post & Ring,South,19,-79.40578938,43.637317520902315
550,Eglinton Ave W,Post & Ring,North,16,-79.41518784,43.703250203122394
25,Bond St,Post & Ring,East,27,-79.37716484,43.65380748163213
33,Russell St,Post & Ring,South,20,-79.39930916,43.659893027666214
1021,Bathurst St,Post & Ring,East,20,-79.41351414,43.6712552
214,Wright Ave,Post & Ring,West,14,-79.4489193,43.64570281236473
340,Harbord St,Post & Ring,North,19,-79.41977978,43.65955150825482
35,St Joseph St,Post & Ring,South,27,-79.38716412,43.665698560441825
1625,Dufferin St,Post & Ring,East,17,-79.44252491,43.67690444476932
30,Lake Shore Blvd W,Post & Ring,North,28,-79.37772274,43.643466849074684
98,Scollard St,Post & Ring,North,27,-79.39201355,43.671844983221604
15,Devonshire Pl,Post & Ring,East,20,-79.39707756,43.66619526444617
165,York St,Post & Ring,East,28,-79.38416004,43.649615547862794
1221,King St W,Post & Ring,South,14,-79.42776203,43.63874621
759,Gladstone Ave,Post & Ring,North,18,-79.43651676,43.66619526444617
101,College St,Post & Ring,South,27,-79.38922405,43.659986168986705
5,Carlton St,Post & Ring,South,27,-79.38222885,43.66125909
360,Danforth Ave,Post & Ring,North,29,-79.35278893,43.677463132160995
1106,Queen St W,Post & Ring,North,18,-79.4229126,43.64343579344302
805,King St W,Post & Ring,South,19,-79.4072485,43.642907845248374
743,St Clair Ave W,Post & Ring,South,21,-79.42797661,43.68106343723903
212,Adelaide St W,Post & Ring,North,20,-79.38746452,43.64849764944256
151,Sterling Rd,Post & Ring,East,18,-79.44437027,43.65355908
5,Benson Ave,Post & Ring,South,21,-79.4229126,43.68041167388637
423,Richmond St W,Post & Ring,West,20,-79.39609051,43.64765921197332
110,St George St,Post & Ring,West,20,-79.39849377,43.66352543209828
546,College St,Post & Ring,North,19,-79.41184044,43.65570151869579
12,Shaftesbury Ave,Post & Ring,North,27,-79.39119816,43.68208762248818
511,Queen St W,Post & Ring,South,20,-79.39892292,43.64812501201223
225,Gladstone Ave,Post & Ring,East,18,-79.42965031,43.64946028543753
246,Spadina Ave,Rack,West,20,-79.39759254,43.65135445960513
1068,College St,Post & Ring,East,18,-79.4310236,43.653000168988456
742,Queen St E,Post & Ring,West,30,-79.34858322,43.65924103437692
56,Dan Leckie Way,Post & Ring,North,20,-79.39806461,43.63821821941934
233,Carlaw Ave,Post & Ring,East,30,-79.34077263,43.66296661495181
533,Parliament St,Post & Ring,East,28,-79.36841011,43.66563647
641,Mount Pleasant Rd,Post & Ring,East,22,-79.38862324,43.70489448977676
1216,King St W,Post & Ring,North,14,-79.42801952,43.63887044095165
10,Spadina Rd,Post & Ring,West,20,-79.40437317,43.667685351799236
170,St George St,Post & Ring,West,20,-79.39995289,43.667685351799236
60,Adelaide St E,Post & Ring,North,28,-79.37570572,43.65107499504202
388,Spadina Ave,Post & Ring,West,20,-79.39922333,43.655422074361155
105,Mc Caul St,Post & Ring,East,20,-79.39106941,43.65368328039335
777,Bay St,Post & Ring,South,27,-79.38561916,43.66073129434915
425,Bloor St W,Post & Ring,East,20,-79.40514565,43.66619526444617
194,Ossington Ave,Post & Ring,West,19,-79.42059517,43.64868396729085
158,Clinton St,Post & Ring,South,19,-79.41505909,43.658464842658304
338,Adelaide St W,Post & Ring,North,20,-79.39252853,43.64741078380888
1710A,Eglinton Ave W,Post & Ring,North,15,-79.44651604,43.696579521113705
110,St George St,Post & Ring,West,20,-79.39823627,43.66290452383666
5,Salem Ave,Rack,East,18,-79.4315815,43.66079338771189
859,Dundas St W,Post & Ring,South,19,-79.4103384,43.65135445960513
260,Richmond St W,Post & Ring,North,20,-79.38961029,43.64942923290431
965,Queen St W,Post & Ring,South,19,-79.41437244,43.64501961018922
248,Bloor St W,Post & Ring,North,20,-79.39793587,43.667995782008575
568,Spadina Cres,Post & Ring,North,20,-79.40063953,43.66035873282385
384,College St,Post & Ring,North,20,-79.40540314,43.65700557506315
475,Front St E,Post & Ring,East,28,-79.35566425,43.65306227034637
154,Wellesley St E,Post & Ring,North,27,-79.37583447,43.666691964340515
76,College St,Post & Ring,North,27,-79.38677788,43.66073129434915
284A,King St W,Post & Ring,North,20,-79.38866615,43.64688287054801
269,Gerrard St E,Post & Ring,South,28,-79.36789513,43.66191105726068
168B,Niagara St,Post & Ring,East,19,-79.40711975,43.642535173141056
4,Kenwood Ave,Post & Ring,North,21,-79.42231178,43.68246004915298
700,Bay St,Post & Ring,West,27,-79.38484669,43.658154363161344
887,Yonge St,Post & Ring,East,27,-79.38836575,43.67435924749307
519,Church St,Post & Ring,East,27,-79.38115597,43.666505702361775
130-140,St George St,Post & Ring,West,20,-79.39875126,43.66417737886144
474,Yonge St,Post & Ring,West,27,-79.38360214,43.66237674676515
140,St George St,Post & Ring,South,20,-79.39922333,43.66532602974135
393,Front St W,Post & Ring,South,20,-79.39312935,43.64281467743825
362,Broadview Ave,Post & Ring,West,30,-79.35261726,43.66526394106654
1229,Queen St W,Post & Ring,South,14,-79.4293499,43.641976160645555
250,College St,Post & Ring,North,20,-79.39875126,43.65821645918916
138,Oakwood Ave,Post & Ring,West,17,-79.43587303,43.679325385897926
86,Harbord St,Post & Ring,North,20,-79.40287113,43.66296661495181
80,Sherbourne St,Post & Ring,North,28,-79.36879635,43.65216179437164
767,Bay St,Post & Ring,East,27,-79.38519001,43.65955150825482
620A,Fleet St,Post & Ring,North,19,-79.40265656,43.636075155965784
139,Braemar Ave,Post & Ring,South,22,-79.40930843,43.70433605785735
44,St George St,Post & Ring,South,20,-79.39759254,43.66020349817268
1132,Bay St,Post & Ring,West,27,-79.38905239,43.66846142431234
1229,Queen St W,Post & Ring,South,14,-79.42956448,43.64191404782494
118,Edward St,Post & Ring,North,27,-79.38673496,43.65591886339038
3200,Danforth Ave,Post & Ring,North,35,-79.28369522,43.69235954370049
1414,Dundas St W,Post & Ring,North,18,-79.42926407,43.649615547862794
340,College St,Post & Ring,North,20,-79.40342903,43.657440254225605
401,College St,Post & Ring,South,20,-79.40604687,43.65666403922805
180,University Ave,Post & Ring,North,20,-79.38613415,43.64880817886856
5,Walmer Rd,Rack,East,20,-79.40548897,43.666567789752264
43,Gerrard St E,Post & Ring,South,27,-79.37918186,43.65961360283774
550,Jarvis St,Post & Ring,West,27,-79.37961102,43.66911331746894
55,Bloor St W,Post & Ring,East,27,-79.38909531,43.66911331746894
214,Wellington St W,Post & Ring,East,20,-79.38918114,43.64545437610903
10,Harbour St,Post & Ring,North,28,-79.37583447,43.642938901152945
1615,Dundas St W,Post & Ring,South,18,-79.43531513,43.64980186224332
183-189,Bathurst St,Post & Ring,East,20,-79.40407276,43.64778342567021
404,Queen St E,Post & Ring,North,28,-79.36248779,43.656074109119146
133,Crawford St,Post & Ring,East,19,-79.41531658,43.645920193245644
41,Fraser Ave,Post & Ring,East,14,-79.42372799,43.63685163706123
1376,Bathurst St,Post & Ring,West,21,-79.4173336,43.68034960081681
435,Queen St W,Post & Ring,South,20,-79.39570427,43.64880817886856
1051,Bathurst St,Post & Ring,East,20,-79.41377163,43.671907065089215
1519,Yonge St,Post & Ring,East,22,-79.39458847,43.68947365288619
167,College St,Post & Ring,East,20,-79.39325809,43.65886846360422
728,Queen St E,Post & Ring,North,30,-79.34922695,43.65905474927956
163,Portland St,Post & Ring,East,20,-79.4011116,43.64722446201131
120,Adelaide St E,Post & Ring,North,28,-79.37321663,43.65160287145844
21,Carlton St,Post & Ring,South,27,-79.38175678,43.66129013230233
46,Mc Caul St,Post & Ring,West,20,-79.3904686,43.65182023098723
533,St Clair Ave W,Post & Ring,East,21,-79.41965103,43.68261522624766
239,College St,Post & Ring,South,20,-79.39845085,43.65812331512333
87,Osler St,Post & Ring,East,18,-79.45763111,43.666691964340515
415,King St W,Post & Ring,South,20,-79.39441681,43.64551649
89,Regal Rd,Post & Ring,South,17,-79.4399929,43.67423508876692
668,Kingston Rd,Post & Ring,North,32,-79.2973423,43.67910812594016
1005,King St W,Post & Ring,South,19,-79.41415787,43.64151031
805,College St,Post & Ring,South,19,-79.42158222,43.65455268367057
805,Dovercourt Rd,Post & Ring,East,19,-79.42969322,43.662594067297675
57,Adelaide St E,Post & Ring,South,28,-79.37583447,43.650888684610834
558,College St,Post & Ring,North,19,-79.41222668,43.65563942006716
170,St George St,Post & Ring,West,20,-79.3999958,43.66771639489241
2110,Danforth Ave,Post & Ring,North,31,-79.31193352,43.68596695352397
598,Markham St,Post & Ring,West,19,-79.41214085,43.66399110908014
456,Carlaw Ave,Post & Ring,West,30,-79.34300423,43.66802682494122
415,King St W,Post & Ring,South,20,-79.39450264,43.64548543069719
1675,Danforth Ave,Post & Ring,South,32,-79.3216753,43.683639385005876
37,Shuter St,Post & Ring,South,27,-79.37772274,43.65445953392148
513,Bloor St W,Post & Ring,South,20,-79.40883636,43.665543339597576
2186,Queen St E,Post & Ring,North,32,-79.29043293,43.67212435
85,Queens Wharf Rd,Post & Ring,East,20,-79.39909458,43.63887044095165
10,Bellair St,Post & Ring,West,27,-79.39072609,43.669641035314754
2,Glen Elm Ave,Post & Ring,North,22,-79.39501762,43.691366564681715
1912,Danforth Ave,Post & Ring,North,31,-79.31643963,43.68497386866886
1206,Yonge St,Post & Ring,West,22,-79.39154148,43.68168415765899
887,Dundas St W,Post & Ring,South,19,-79.41179752,43.65104394334361
500,University Ave,Post & Ring,East,20,-79.38939571,43.65535997544353
595,College St,Post & Ring,South,19,-79.4136858,43.655173678305346
91,Augusta Ave,Rack,East,20,-79.40042496,43.65039185396881
876,Dundas St W,Post & Ring,North,19,-79.41136837,43.65126130489526
1134,College St,Post & Ring,North,18,-79.43368435,43.65237915
967-969,O'Connor Dr,Post & Ring,East,31,-79.3104744,43.70846212647601
49,Givins St,Post & Ring,West,19,-79.41707611,43.64654127714218
440,Wellington St W,Post & Ring,North,20,-79.39720631,43.64352896028984
1381,Danforth Ave,Post & Ring,South,30,-79.32806969,43.68230487165695
12,Grosvenor St,Post & Ring,North,27,-79.38484669,43.66290452383666
640,Dundas St E,Post & Ring,North,28,-79.36115742,43.66066920092214
