ADDRESSNUM,ADDRESSSTR,ASSETTYPE,SIDE,WARD,Lon,Lat
332,Queen St E,Post & Ring,North,28,-79.36497688,43.65554627200379
246,Carlton St,Post & Ring,North,28,-79.36841011,43.66423947
82,Queens Quay W,Post & Ring,North,28,-79.37819481,43.64079600607349
146,Spadina Ave,Post & Ring,West,20,-79.396348,43.64809395878868
80,Grosvenor St,Post & Ring,North,27,-79.38926697,43.66191105726068
468,Huron St,Post & Ring,North,20,-79.40209866,43.667126573376606
554,Roxton Rd,Post & Ring,South,19,-79.4245863,43.66212837947896
1260,Dufferin St,Post & Ring,West,18,-79.43866253,43.66743700647581
1359,Davenport Rd,Post & Ring,South,17,-79.44007874,43.67308661
1099,Yonge St,Post & Ring,East,27,-79.39068317,43.68003923450593
250,Dundas St W,Post & Ring,North,20,-79.3893528,43.65470793
782,Dundas St W,Post & Ring,North,19,-79.40767765,43.65200653852864
9,Inkerman St,Post & Ring,South,27,-79.38746452,43.666567789752264
687,Bloor St W,Post & Ring,South,19,-79.41686153,43.663835883820894
637,Davenport Rd,Post & Ring,South,21,-79.41347122,43.67671821448283
2050,Danforth Ave,Post & Ring,North,31,-79.31382179,43.68553248
4,Walmer Rd,Post & Ring,North,20,-79.40561771,43.666350483604674
1649,Bloor St W,Post & Ring,South,14,-79.45612907,43.655453123795894
471,Front St E,Post & Ring,West,28,-79.35583591,43.65287596608002
1,Carlton St,Post & Ring,East,27,-79.38270092,43.66129013230233
651,College St,Post & Ring,South,19,-79.41613197,43.65495633091365
68,College St,Post & Ring,North,27,-79.38639164,43.66079338771189
123,Jefferson Ave,Post & Ring,East,14,-79.42196846,43.63942948234438
73,Mc Caul St,Post & Ring,East,20,-79.39059734,43.65250335581348
781,Victoria Park Ave,Rack,East,35,-79.28953171,43.694686773853675
942,Kingston Rd,Post & Ring,North,32,-79.28807259,43.680504783370225
2033,Yonge St,Post & Ring,East,22,-79.39716339,43.70160587136769
486,Danforth Ave,Post & Ring,North,29,-79.3493557,43.67814596524221
540,Kingston Rd,Post & Ring,North,32,-79.30141926,43.67814596524221
922,Bloor St W,Post & Ring,North,19,-79.42698956,43.66172478044746
1895,Eglinton Ave W,Post & Ring,South,17,-79.45192337,43.69524529565206
246,Bloor St W,Post & Ring,West,20,-79.39763546,43.668368296140585
438,Dundas St W,Post & Ring,North,20,-79.39548969,43.653528028483635
130,St George St,Post & Ring,West,20,-79.39896584,43.66482931854452
788,College St,Post & Ring,North,19,-79.42111015,43.65477003252323
743,Pape Ave,Post & Ring,North,29,-79.34493542,43.67982198
25,York St,Post & Ring,North,28,-79.38076973,43.643187347811704
79,Manning Ave,Post & Ring,East,19,-79.4097805,43.64859080843894
1602A,Danforth Ave,Post & Ring,North,31,-79.32304859,43.68354628038671
393,University Ave,Post & Ring,West,27,-79.38677788,43.65399378300867
531,Bay St,Post & Ring,East,27,-79.38338757,43.65523577741561
443,Parliament St,Post & Ring,East,28,-79.36746597,43.66333916029407
466,Queen St W,Post & Ring,North,20,-79.3999958,43.64806291
1334,Queen St W,Post & Ring,North,14,-79.43166733,43.64166559590046
777,Bay St,Post & Ring,South,27,-79.38514709,43.660855481010486
1684,Danforth Ave,Post & Ring,North,31,-79.32107449,43.68398077
197,Spadina Ave,Post & Ring,East,20,-79.39686298,43.65051606201462
469,Bloor St W,Post & Ring,South,20,-79.40690517,43.665946912957736
566,Parliament St,Post & Ring,West,28,-79.36931133,43.667343876714625
41,Baldwin St,Post & Ring,South,20,-79.39373016,43.65588781419646
15,St Clair Ave E,Post & Ring,South,22,-79.39287186,43.688263399282874
832,Bloor St W,Post & Ring,North,19,-79.42368507,43.662469884232536
129,Wychcrest Ave,Post & Ring,West,21,-79.42664623,43.67271412352446
600,Fleet St,Post & Ring,North,19,-79.4002533,43.63660316420234
42,John St,Post & Ring,West,20,-79.3893528,43.64529910292748
335-337,Oakwood Ave,Post & Ring,East,17,-79.43823338,43.686215222168926
1,St Clair Ave E,Post & Ring,South,22,-79.39360142,43.68810823679843
789,Dovercourt Rd,Post & Ring,East,19,-79.42960739,43.66237674676515
1550,Queen St E,Post & Ring,North,32,-79.31965828,43.665698560441825
520,Sherbourne St,Post & Ring,South,27,-79.37557697,43.668585594983256
992,Kingston Rd,Post & Ring,North,32,-79.2858839,43.68072203827066
317,Bloor St W,Post & Ring,South,20,-79.39909458,43.66756117926593
446,Danforth Ave,Post & Ring,North,29,-79.35051441,43.67789766320266
475,Front St E,Post & Ring,South,28,-79.35459137,43.65331067513577
119,Roncesvalles Ave,Post & Ring,East,14,-79.44750309,43.64256623
1132,Bay St,Post & Ring,West,27,-79.38905239,43.66849246700414
90,Sherbourne St,Post & Ring,West,28,-79.36901093,43.652969118285455
475A,Queen St W,Post & Ring,South,20,-79.39772129,43.648342384127545
80,Grosvenor St,Post & Ring,North,27,-79.38926697,43.66191105726068
12,Queens Quay W,Post & Ring,North,28,-79.37570572,43.64166559590046
30,Harbour St,Post & Ring,East,28,-79.37737942,43.64231778
386,Eglinton Ave W,Post & Ring,North,16,-79.41003799,43.70433605785735
110,Yonge St,Post & Ring,West,28,-79.37840939,43.65023659355032
526,Queen St W,Post & Ring,North,20,-79.40227032,43.647597105028524
505,Richmond St W,Post & Ring,South,20,-79.39926624,43.64728656934139
1300,Bay St,Post & Ring,West,27,-79.39072609,43.67240371771837
1630,Danforth Ave,Post & Ring,North,31,-79.32219028,43.683732489480576
451,Dupont St,Post & Ring,South,20,-79.41415787,43.67311764867216
565,College St,Post & Ring,South,19,-79.41287041,43.655328925960646
311X,Queens Quay W,Post & Ring,South,20,-79.38785076,43.63846668559981
318,Dundas St E,Post & Ring,North,28,-79.37042713,43.65849589
88,Nassau St,Post & Ring,North,20,-79.40325737,43.65508052951952
170,Mill St,Post & Ring,West,28,-79.35544968,43.65200653852864
77,Florence St,Post & Ring,South,18,-79.43274021,43.645392266884585
626,College St,Post & Ring,North,19,-79.41518784,43.65501843
725,King St W,Post & Ring,South,19,-79.40484524,43.64337368213151
1298,Bloor St W,Post & Ring,North,18,-79.44226742,43.65849589
354,Dupont St,Post & Ring,North,20,-79.4097805,43.67417300930754
2,Shuter St,Post & Ring,North,27,-79.37982559,43.654149033714276
334,Bloor St W,Post & Ring,East,20,-79.40441608,43.66641257115569
1037,Pape Ave,Post & Ring,East,29,-79.34849739,43.68888404520686
1901,Yonge St,Post & Ring,East,22,-79.39639091,43.69800679920715
679,Queen St W,Post & Ring,South,19,-79.40488815,43.64694497823129
48,Williamson Rd,Rack,North,32,-79.29717064,43.67411092978392
1,Bloor St E,Post & Ring,East,27,-79.38677788,43.67057229
60,Oxford St,Post & Ring,East,20,-79.40269947,43.65641564830963
2275,Dundas St W,Post & Ring,West,14,-79.45218086,43.65501843
5,Dan Leckie Way,Post & Ring,South,20,-79.39707756,43.63706904996991
111,St George St,Post & Ring,East,20,-79.39896584,43.66588482492509
790,Queen St W,Post & Ring,North,19,-79.41338539,43.64533015759588
526,King St E,Post & Ring,North,28,-79.35665131,43.65666403922805
255,Bremner Blvd,Post & Ring,South,20,-79.38591957,43.64191404782494
117,Gerrard St E,Post & Ring,South,27,-79.37613487,43.660296639011534
426,University Ave,Post & Ring,West,20,-79.38815117,43.65383853190167
288,Bloor St W,Post & Ring,East,20,-79.40145493,43.66731283342878
120,Bloor St E,Post & Ring,East,27,-79.3843317,43.67131728475391
