"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"ON FOOT","TOTAL","21855282","28126710","28126710","0","0","2022"
"ON FOOT","TOTAL","22717217","26995459","26995459","0","0","2023"
"RAIL","INBOUND","2765332","109464824","54732412","0","0","2018"
"RAIL","INBOUND","3287295","129813920","64906960","0","0","2019"
"RAIL","INBOUND","1625073","57625980","28812990","0","0","2022"
"RAIL","INBOUND","2539609","88619740","44309870","0","0","2023"
"RAIL","OUTBOUND","2983640","116160457","58080228.5","0","0","2018"
"RAIL","OUTBOUND","3457941","136050170","68025085","0","0","2019"
"RAIL","OUTBOUND","1622256","57444152","28722076","0","0","2022"
"RAIL","OUTBOUND","2535837","88588736","44294368","0","0","2023"
"RAIL","TOTAL","5748972","225625281","112812640.5","0","0","2018"
"RAIL","TOTAL","6745236","265864090","132932045","0","0","2019"
"RAIL","TOTAL","3247329","115070132","57535066","0","0","2022"
"RAIL","TOTAL","5075446","177208476","88604238","0","0","2023"
