"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"ON FOOT","IN-BOUNDARY","32661345","41892662","41892662","0","0","2021"
"ON FOOT","IN-BOUNDARY","33000327","39386659","39386659","0","0","2022"
"ON FOOT","IN-BOUNDARY","34668769","38541125","38541125","0","0","2023"
"ON FOOT","INBOUND","3624447","5791050","2895525","0","0","2018"
"ON FOOT","INBOUND","3764306","6924572","3462286","0","0","2019"
"ON FOOT","INBOUND","2105155","3135056","1567528","0","0","2020"
"ON FOOT","INBOUND","2235860","3311234","1655617","0","0","2021"
"ON FOOT","INBOUND","2861133","3936773","1968386.5","0","0","2022"
"ON FOOT","INBOUND","3065887","4061404","2030702","0","0","2023"
"ON FOOT","OUTBOUND","3710718","5925930","2962965","0","0","2018"
"ON FOOT","OUTBOUND","3630143","6262006","3131003","0","0","2019"
"ON FOOT","OUTBOUND","2162851","3109969","1554984.5","0","0","2020"
"ON FOOT","OUTBOUND","2263509","3251009","1625504.5","0","0","2021"
"ON FOOT","OUTBOUND","2836731","3864573","1932286.5","0","0","2022"
"ON FOOT","OUTBOUND","3077014","4067784","2033892","0","0","2023"
"ON FOOT","TOTAL","46785945","43190232","37331742","0","0","2018"
"ON FOOT","TOTAL","47623163","45693513","39100224","0","0","2019"
"ON FOOT","TOTAL","32398680","41368831","38246318.5","0","0","2020"
"ON FOOT","TOTAL","37160714","48454905","45173783.5","0","0","2021"
"ON FOOT","TOTAL","38698191","47188005","43287332","0","0","2022"
"ON FOOT","TOTAL","40811670","46670313","42605719","0","0","2023"
"RAIL","INBOUND","1021501","33037155","16518577.5","0","0","2018"
"RAIL","INBOUND","1362628","43384804","21692402","0","0","2019"
"RAIL","OUTBOUND","1196488","35966492","17983246","0","0","2018"
"RAIL","OUTBOUND","1494709","44975186","22487593","0","0","2019"
"RAIL","TOTAL","2217989","69003647","34501823.5","0","0","2018"
"RAIL","TOTAL","2857337","88359990","44179995","0","0","2019"
"SUBWAY","INBOUND","2525212","50954987","25477493.5","0","0","2018"
"SUBWAY","INBOUND","3807662","81179286","40589643","0","0","2019"
"SUBWAY","INBOUND","1421721","27994324","13997162","0","0","2020"
"SUBWAY","INBOUND","1739635","31082205","15541102.5","0","0","2021"
"SUBWAY","INBOUND","3013712","50214713","25107356.5","0","0","2022"
"SUBWAY","INBOUND","3911327","63500246","31750123","0","0","2023"
"SUBWAY","OUTBOUND","2799001","58498732","29249366","0","0","2018"
"SUBWAY","OUTBOUND","3984890","94131147","47065573.5","0","0","2019"
"SUBWAY","OUTBOUND","1397976","31208828","15604414","0","0","2020"
"SUBWAY","OUTBOUND","1748097","31715155","15857577.5","0","0","2021"
"SUBWAY","OUTBOUND","3103122","48342496","24171248","0","0","2022"
"SUBWAY","OUTBOUND","3965917","63077871","31538935.5","0","0","2023"
"SUBWAY","TOTAL","5324213","109453719","54726859.5","0","0","2018"
"SUBWAY","TOTAL","7792552","175310433","87655216.5","0","0","2019"
"SUBWAY","TOTAL","2819697","59203152","29601576","0","0","2020"
"SUBWAY","TOTAL","3487732","62797360","31398680","0","0","2021"
"SUBWAY","TOTAL","6116834","98557209","49278604.5","0","0","2022"
"SUBWAY","TOTAL","7877244","126578117","63289058.5","0","0","2023"
