"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"CYCLING","TOTAL","5924924","18221393","18221393","0","0","2023"
"ON FOOT","IN-BOUNDARY","109283246","83481693","83481693","0","0","2018"
"ON FOOT","IN-BOUNDARY","112238667","87567067","87567067","0","0","2019"
"ON FOOT","IN-BOUNDARY","71813801","80614468","80614468","0","0","2020"
"ON FOOT","IN-BOUNDARY","80680200","94859763","94859763","0","0","2021"
"ON FOOT","IN-BOUNDARY","88106940","97317241","97317241","0","0","2022"
"ON FOOT","IN-BOUNDARY","96771538","99068721","99068721","0","0","2023"
"ON FOOT","INBOUND","1750508","5145138","2572569","0","0","2018"
"ON FOOT","INBOUND","704702","1837849","918924.5","0","0","2020"
"ON FOOT","INBOUND","753382","1981447","990723.5","0","0","2021"
"ON FOOT","INBOUND","847550","2053536","1026768","0","0","2022"
"ON FOOT","OUTBOUND","1675937","4662090","2331045","0","0","2018"
"ON FOOT","OUTBOUND","740161","1921795","960897.5","0","0","2020"
"ON FOOT","OUTBOUND","783378","2060081","1030040.5","0","0","2021"
"ON FOOT","OUTBOUND","891971","2150405","1075202.5","0","0","2022"
"ON FOOT","TOTAL","112709691","93288921","88385307","0","0","2018"
"ON FOOT","TOTAL","112238667","87567067","87567067","0","0","2019"
"ON FOOT","TOTAL","73258664","84374112","82494290","0","0","2020"
"ON FOOT","TOTAL","82216960","98901291","96880527","0","0","2021"
"ON FOOT","TOTAL","89846461","101521182","99419211.5","0","0","2022"
"ON FOOT","TOTAL","96771538","99068721","99068721","0","0","2023"
"RAIL","INBOUND","5904389","172105160","86052580","0","0","2018"
"RAIL","INBOUND","7027935","204501774","102250887","0","0","2019"
"RAIL","INBOUND","2142832","55524282","27762141","0","0","2020"
"RAIL","INBOUND","3562890","84915308","42457654","0","0","2022"
"RAIL","INBOUND","5648398","135227637","67613818.5","0","0","2023"
"RAIL","OUTBOUND","6751515","190437726","95218863","0","0","2018"
"RAIL","OUTBOUND","7549785","213391063","106695531.5","0","0","2019"
"RAIL","OUTBOUND","2248574","56407265","28203632.5","0","0","2020"
"RAIL","OUTBOUND","3562626","84627708","42313854","0","0","2022"
"RAIL","OUTBOUND","5577088","132896849","66448424.5","0","0","2023"
"RAIL","TOTAL","12655904","362542886","181271443","0","0","2018"
"RAIL","TOTAL","14577720","417892837","208946418.5","0","0","2019"
"RAIL","TOTAL","4391406","111931547","55965773.5","0","0","2020"
"RAIL","TOTAL","7125516","169543016","84771508","0","0","2022"
"RAIL","TOTAL","11225486","268124486","134062243","0","0","2023"
