"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"CYCLING","OUTBOUND","926086","8703576","4351788","0","0","2022"
"CYCLING","TOTAL","53348701","161210758","161210758","0","0","2018"
"CYCLING","TOTAL","55975747","171487968","163104471","0","0","2019"
"CYCLING","TOTAL","54701213","201035642","192866938","0","0","2020"
"CYCLING","TOTAL","63455343","233928497","224755063","0","0","2021"
"CYCLING","TOTAL","58317098","231033456","222219162","0","0","2022"
"CYCLING","TOTAL","60540504","221826377","221826377","0","0","2023"
"ON FOOT","IN-BOUNDARY","994521810","793542016","793542016","0","0","2018"
"ON FOOT","IN-BOUNDARY","1049362146","809259828","809259828","0","0","2019"
"ON FOOT","IN-BOUNDARY","563250234","505140160","505140160","0","0","2020"
"ON FOOT","IN-BOUNDARY","613626860","569850768","569850768","0","0","2021"
"ON FOOT","IN-BOUNDARY","739347668","672744504","672744504","0","0","2022"
"ON FOOT","IN-BOUNDARY","795456910","689172432","689172432","0","0","2023"
"ON FOOT","INBOUND","5777252","10727602","5363801","0","0","2018"
"ON FOOT","INBOUND","5534027","11249842","5624921","0","0","2019"
"ON FOOT","INBOUND","3040869","5109154","2554577","0","0","2020"
"ON FOOT","INBOUND","3159245","5365684","2682842","0","0","2021"
"ON FOOT","INBOUND","3758677","6078787","3039393.5","0","0","2022"
"ON FOOT","INBOUND","4052555","6258338","3129169","0","0","2023"
"ON FOOT","OUTBOUND","5614167","10620672","5310336","0","0","2018"
"ON FOOT","OUTBOUND","5423540","11735072","5867536","0","0","2019"
"ON FOOT","OUTBOUND","2943946","5078018","2539009","0","0","2020"
"ON FOOT","OUTBOUND","3091664","5396754","2698377","0","0","2021"
"ON FOOT","OUTBOUND","3724003","5972947","2986473.5","0","0","2022"
"ON FOOT","OUTBOUND","3984184","6071593","3035796.5","0","0","2023"
"ON FOOT","TOTAL","1005913229","814890290","804216153","0","0","2018"
"ON FOOT","TOTAL","1060319713","832244742","820752285","0","0","2019"
"ON FOOT","TOTAL","569235049","515327332","510233746","0","0","2020"
"ON FOOT","TOTAL","619877769","580613206","575231987","0","0","2021"
"ON FOOT","TOTAL","746830348","684796238","678770371","0","0","2022"
"ON FOOT","TOTAL","803493649","701502363","695337397.5","0","0","2023"
"RAIL","INBOUND","21210668","1037590850","518795425","0","0","2018"
"RAIL","INBOUND","24261848","1139775970","569887985","0","0","2019"
"RAIL","INBOUND","7747523","350401978","175200989","0","0","2020"
"RAIL","INBOUND","4619317","268508413","134254206.5","0","0","2021"
"RAIL","INBOUND","11749663","622909261","311454630.5","0","0","2022"
"RAIL","INBOUND","18232596","869507224","434753612","0","0","2023"
"RAIL","OUTBOUND","18341626","953139271","476569635.5","0","0","2018"
"RAIL","OUTBOUND","22297074","1100998501","550499250.5","0","0","2019"
"RAIL","OUTBOUND","7583571","352135902","176067951","0","0","2020"
"RAIL","OUTBOUND","4715772","273756867","136878433.5","0","0","2021"
"RAIL","OUTBOUND","11787808","629815933","314907966.5","0","0","2022"
"RAIL","OUTBOUND","18227106","877955777","438977888.5","0","0","2023"
"RAIL","TOTAL","39552294","1990730121","995365060.5","0","0","2018"
"RAIL","TOTAL","46558922","2240774471","1120387235.5","0","0","2019"
"RAIL","TOTAL","15331094","702537880","351268940","0","0","2020"
"RAIL","TOTAL","9335089","542265280","271132640","0","0","2021"
"RAIL","TOTAL","23537471","1252725194","626362597","0","0","2022"
"RAIL","TOTAL","36459702","1747463001","873731500.5","0","0","2023"
"SUBWAY","IN-BOUNDARY","245669441","1860256056","1860256056","0","0","2018"
"SUBWAY","IN-BOUNDARY","237869400","2209350981","2209350981","0","0","2019"
"SUBWAY","IN-BOUNDARY","86812376","743212667","743212667","0","0","2020"
"SUBWAY","IN-BOUNDARY","86780486","767692724","767692724","0","0","2021"
"SUBWAY","IN-BOUNDARY","147666646","1252729015","1252729015","0","0","2022"
