"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"ON FOOT","IN-BOUNDARY","17718646","23003540","23003540","0","0","2022"
"ON FOOT","IN-BOUNDARY","18204094","21837418","21837418","0","0","2023"
"ON FOOT","INBOUND","798957","1692652","846326","0","0","2018"
"ON FOOT","INBOUND","805617","2098367","1049183.5","0","0","2019"
"ON FOOT","INBOUND","327364","711950","355975","0","0","2020"
"ON FOOT","INBOUND","343762","699154","349577","0","0","2021"
"ON FOOT","INBOUND","404424","740034","370017","0","0","2022"
"ON FOOT","OUTBOUND","768411","1632905","816452.5","0","0","2018"
"ON FOOT","OUTBOUND","744484","2010156","1005078","0","0","2019"
"ON FOOT","OUTBOUND","339065","720522","360261","0","0","2020"
"ON FOOT","OUTBOUND","366500","744531","372265.5","0","0","2021"
"ON FOOT","OUTBOUND","431450","781501","390750.5","0","0","2022"
"ON FOOT","TOTAL","20810924","19090453","17427674.5","0","0","2018"
"ON FOOT","TOTAL","20923075","20165006","18110744.5","0","0","2019"
"ON FOOT","TOTAL","17297318","22647497","21931261","0","0","2020"
"ON FOOT","TOTAL","19288981","26241531","25519688.5","0","0","2021"
"ON FOOT","TOTAL","18554520","24525075","23764307.5","0","0","2022"
"ON FOOT","TOTAL","18204094","21837418","21837418","0","0","2023"
"RAIL","INBOUND","920403","31998424","15999212","0","0","2018"
"RAIL","OUTBOUND","1102969","36024151","18012075.5","0","0","2018"
"RAIL","TOTAL","2023372","68022575","34011287.5","0","0","2018"
