"id","latitude","longitude","survey"
617,43.70390617027408,-79.31159625297852,"{""map"": [[43.70390617027408, -79.31159625297852]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-07-04T03:52:41.000Z"", ""time"": [""hours""]}], ""problem_type"": [""badly""]}"
1302,43.6446086135111,-79.4114097573303,"{""map"": [[43.644608613511124, -79.41140975733032]], ""comments"": ""This stretch of Richmond Ave is near my office. During the day, there can be bikes chained to every pole and fence. There are no ring-and-posts on this block."", ""happening"": [{""date"": ""2019-05-09T13:04:00.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
395,43.76566009166408,-79.41223613051795,"{""map"": [[43.76566009166408, -79.41223613051795]], ""picture"": null, ""happening"": [{""date"": ""2018-06-06T02:24:06.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""absent""]}"
1436,43.692123545705556,-79.53216104752198,"{""map"": [[43.692123545705556, -79.53216104752198]], ""picture"": null, ""comments"": ""Royal York is a great N-S bike route that basically connects the waterfront to Weston and all the neighborhoods in between. Unfortunately, the retail centers don’t think cyclists shop. There wasn’t a single bike ring in the entire plaza or even a place that felt safe to lock a bike. Traffic on Royal York, of course, was at a stand still but that seems to be exactly what this city wants. "", ""location"": ""Royal York Road"", ""happening"": [{""date"": ""2019-08-24T15:00:00.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
434,43.66529843868532,-79.36905379606918,"{""map"": [[43.66529843868532, -79.36905379606918]], ""picture"": null, ""happening"": [{""date"": ""2018-06-11T00:58:03.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""badly""]}"
447,43.63977013450572,-79.38149666793066,"{""map"": [[43.63977013450572, -79.38149666793066]], ""picture"": null, ""happening"": [{""date"": ""2018-06-13T00:10:55.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full"", ""damaged""]}"
460,43.6929707,-79.30268050000001,"{""map"": [[43.6929707, -79.30268050000001]], ""picture"": null, ""happening"": [{""date"": ""2018-06-13T13:49:26.000Z"", ""time"": [""days""]}], ""problem_type"": [""other""]}"
1466,43.6518772212738,-79.3655834730001,"{""map"": [[43.65187722127377, -79.36558347300013]], ""comments"": ""On King St E, north side, in front of Wolf/SubZero showroom, across street from Rooster Coffee"", ""location"": ""King Street East"", ""happening"": [{""date"": ""2019-10-10T00:42:59.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""badly""]}"
486,43.65269110259881,-79.38369312371037,"{""map"": [[43.65269110259881, -79.38369312371037]], ""picture"": null, ""happening"": [{""date"": ""2018-06-15T00:48:33.000Z"", ""time"": [""days""]}], ""problem_type"": [""badly""]}"
519,43.639277299999996,-79.38086220000002,"{""map"": [[43.639277299999996, -79.38086220000002]], ""picture"": null, ""happening"": [{""date"": ""2018-06-20T00:50:42.000Z"", ""time"": [""days""]}], ""problem_type"": [""badly""]}"
530,43.698479999999996,-79.30147349999999,"{""map"": [[43.698479999999996, -79.30147349999999]], ""picture"": null, ""happening"": [{""date"": ""2018-06-20T16:24:59.000Z"", ""time"": [""days""]}], ""problem_type"": [""other""]}"
541,43.6289467,-79.3944199,"{""map"": [[43.6289467, -79.3944199]], ""picture"": null, ""happening"": [{""date"": ""2018-06-21T23:17:00.000Z"", ""time"": [""days""]}], ""problem_type"": [""other""]}"
551,43.66593520000001,-79.40743029999999,"{""map"": [[43.66593520000001, -79.40743029999999]], ""picture"": null, ""happening"": [{""date"": ""2018-06-25T23:19:34.000Z"", ""time"": [""days""]}], ""problem_type"": [""damaged""]}"
560,43.64164329518506,-79.38075258837705,"{""map"": [[43.64164329518506, -79.38075258837705], [43.639813731788, -79.38126681069355], [43.63974057045229, -79.38140958876113], [43.639600502660215, -79.38158532963814]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-06-27T00:11:33.000Z"", ""time"": [""overnight""]}], ""problem_type"": [""other""]}"
569,43.6584186,-79.48162680000002,"{""map"": [[43.6584186, -79.48162680000002]], ""picture"": null, ""comments"": ""This is a comment!"", ""happening"": [{""date"": ""2018-06-27T03:35:43.000Z"", ""time"": [""overnight""]}], ""problem_type"": [""damaged""]}"
578,43.65792260632019,-79.40354007320803,"{""map"": [[43.65792260632019, -79.40354007320803]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-06-27T15:47:27.000Z"", ""time"": [""hours""]}], ""problem_type"": [""damaged""]}"
586,43.670824332838826,-79.3740198181597,"{""map"": [[43.670824332838826, -79.3740198181597]], ""picture"": null, ""comments"": ""sdgsadg"", ""happening"": [{""date"": ""2018-06-28T19:59:25.000Z"", ""time"": [""hours""]}], ""problem_type"": [""badly""]}"
593,43.65365271107963,-79.37422361154785,"{""map"": [[43.65365271107963, -79.37422361154785]], ""picture"": null, ""comments"": ""Test. Penis. Penis."", ""happening"": [{""date"": ""2018-06-29T15:35:36.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full""]}"
599,43.70330783133952,-79.36363477357361,"{""map"": [[43.70330783133952, -79.36363477357361]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-06-29T18:59:03.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""absent""]}"
605,43.65156480760996,-79.37304539075893,"{""map"": [[43.65156480760996, -79.37304539075893]], ""picture"": null, ""comments"": ""Too many people visiting the park today. "", ""happening"": [{""date"": ""2018-07-01T16:49:25.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full""]}"
612,43.6580617,-79.3864974,"{""map"": [[43.6580617, -79.3864974], [43.6580617, -79.3864974]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-07-03T16:17:51.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent"", ""full"", ""damaged"", ""badly"", ""other""]}"
618,43.6580617,-79.3864974,"{""map"": [[43.6580617, -79.3864974]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-07-04T05:14:32.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""badly""]}"
623,43.647372,-79.39577889999998,"{""map"": [[43.647372, -79.39577889999998]], ""picture"": null, ""comments"": ""Tons of parking. All full. "", ""happening"": [{""date"": ""2018-07-05T14:53:36.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""full""]}"
628,43.649529146006074,-79.38881929523683,"{""map"": [[43.649529146006074, -79.38881929523683], [43.649466603013785, -79.38902724029185]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-07-05T18:30:00.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full""]}"
1358,43.64938887383572,-79.42171833006415,"{""map"": [[43.64938887383572, -79.42171833006415]], ""picture"": null, ""comments"": ""Bike was abandoned here months ago"", ""location"": ""Dundas Street West"", ""happening"": [{""date"": ""2019-06-05T17:43:16.000Z"", ""time"": [""hours""]}], ""problem_type"": [""badly""]}"
1400,43.604278747883264,-79.5181058332854,"{""map"": [[43.604278747883264, -79.5181058332854]], ""picture"": null, ""comments"": """", ""location"": ""New Toronto Street"", ""happening"": [{""date"": ""2019-07-26T17:46:25.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
435,43.76810273401365,-79.41301456984576,"{""map"": [[43.76810273401365, -79.41301456984576]], ""picture"": null, ""happening"": [{""date"": ""2018-06-10T20:09:00.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
487,43.65273900401792,-79.38369433532301,"{""map"": [[43.65273900401792, -79.38369433532301]], ""picture"": null, ""happening"": [{""date"": ""2018-06-15T00:49:31.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full""]}"
498,43.64123128369588,-79.41973533411254,"{""map"": [[43.64123128369588, -79.41973533411254]], ""picture"": null, ""happening"": [{""date"": ""2018-06-18T12:45:03.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
510,43.6392603,-79.3808429,"{""map"": [[43.6392603, -79.3808429]], ""picture"": null, ""happening"": [{""date"": ""2018-06-20T00:14:55.000Z"", ""time"": [""hours""]}], ""problem_type"": [""badly""]}"
520,43.639668908471116,-79.38107828606331,"{""map"": [[43.639668908471116, -79.38107828606331]], ""picture"": null, ""happening"": [{""date"": ""2018-06-20T00:54:39.000Z"", ""time"": [""days""]}], ""problem_type"": [""other""]}"
531,43.698479999999996,-79.30147349999999,"{""map"": [[43.698479999999996, -79.30147349999999]], ""picture"": null, ""happening"": [{""date"": ""2018-06-20T16:25:34.000Z"", ""time"": [""days""]}], ""problem_type"": [""other""]}"
542,43.6529123,-79.38368650000001,"{""map"": [[43.6529123, -79.38368650000001]], ""picture"": null, ""happening"": [{""date"": ""2018-06-21T23:17:19.000Z"", ""time"": [""hours""]}], ""problem_type"": [""other""]}"
552,43.6580617,-79.3864974,"{""map"": [[43.6580617, -79.3864974], [43.6580617, -79.3864974]], ""picture"": null, ""happening"": [{""date"": ""2018-06-25T23:43:46.000Z"", ""time"": [""hours""]}], ""problem_type"": [""other""]}"
561,43.639730349898485,-79.38125975214507,"{""map"": [[43.639730349898485, -79.38125975214507]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-06-27T00:15:38.000Z"", ""time"": [""hours""]}], ""problem_type"": [""badly""]}"
570,43.65289197249987,-79.37070455332031,"{""map"": [[43.65289197249987, -79.37070455332031]], ""picture"": null, ""comments"": ""Great application.  Easy to use.  "", ""happening"": [{""date"": ""2018-06-26T14:07:00.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
579,43.648415385127265,-79.39251435918982,"{""map"": [[43.648415385127265, -79.39251435918982], [43.647056957608015, -79.40403557491601]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-06-27T15:48:33.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
587,43.6564203,-79.38343499999996,"{""map"": [[43.6564203, -79.38343499999996], [43.6564203, -79.38343499999996]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-06-28T20:03:06.000Z"", ""time"": [""overnight""]}], ""problem_type"": [""other""]}"
594,43.6611353810355,-79.43001355905761,"{""map"": [[43.6611353810355, -79.43001355905761]], ""picture"": null, ""comments"": ""Broken post and ring at 990 Bloor Street West."", ""happening"": [{""date"": ""2018-06-29T15:59:49.000Z"", ""time"": [""days""]}], ""problem_type"": [""damaged""]}"
600,43.68175252937642,-79.42609485168686,"{""map"": [[43.68175252937642, -79.42609485168686]], ""picture"": null, ""comments"": ""several bikes outside the Subway sandwich shop have been abandoned and are in a state of disrepair, taking up the side walk and stopping people from actually using the locks"", ""happening"": [{""date"": ""2018-06-29T22:51:37.000Z"", ""time"": [""hours""]}], ""problem_type"": [""badly""]}"
619,43.6708479,-79.38811550000003,"{""map"": [[43.6708479, -79.38811550000003]], ""picture"": null, ""comments"": ""test"", ""happening"": [{""date"": ""2018-07-04T22:56:05.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
624,43.6580617,-79.3864974,"{""map"": [[43.6580617, -79.3864974]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-07-05T17:02:48.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""absent""]}"
629,43.64882080618552,-79.37176760086663,"{""map"": [[43.64882080618552, -79.37176760086663]], ""picture"": null, ""comments"": ""Shortage of parking outside St Lawrence market. \n"", ""happening"": [{""date"": ""2018-07-05T23:23:00.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full"", ""absent""]}"
632,43.692984599999996,-79.3024982,"{""map"": [[43.692984599999996, -79.3024982]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-07-07T19:44:11.000Z"", ""time"": [""hours""]}], ""problem_type"": [""badly""]}"
636,43.6580617,-79.3864974,"{""map"": [[43.6580617, -79.3864974]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-07-08T20:44:27.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""badly"", ""damaged"", ""full""]}"
