,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SITE_ADDRESS_x,WARD,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,bike_parking_indoor,bike_parking_outdoor,SITE_ADDRESS_y,LATITUDE,LONGITUDE,geometry,ward_code,ward_name,ward_full,neighbourhood_number,neighbourhood_name,neighbourhood_classification,neighbourhood_classification_code,BICYCLE_ZONE,short_term_min,short_term_max,long_term,short_term_min_unmet,short_term_max_unmet,long_term_unmet,total_unmet_min,total_req_min,pc_unmet
0,Not Available,17,352,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,4155591,61  PELHAM PARK GDNS ,09,1968,2016,2017,,,61 PELHAM PARK GDNS,43.66925972,-79.457795659,POINT (-79.457795659 43.66925972),09,Davenport,Davenport (09),091,Weston-Pelham Park,Neighbourhood Improvement Area,NIA,1,36,71,317,36,71,317,353,353,1.0
1,Not Available,16,299,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,4155601,275  SHUTER ST ,13,1964,1999,2017,,,275 SHUTER ST,43.655849077,-79.367907347,POINT (-79.367907347 43.655849077),13,Toronto Centre,Toronto Centre (13),073,Moss Park,Not an NIA or Emerging Neighbourhood,NA,1,30,60,270,30,60,270,300,300,1.0
2,Not Available,29,719,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,4155605,200  WELLESLEY ST E,13,1970,2016,2017,,,200 WELLESLEY ST E,43.6680628106,-79.3736609333,POINT (-79.3736609333 43.6680628106),13,Toronto Centre,Toronto Centre (13),074,North St.James Town,Not an NIA or Emerging Neighbourhood,NA,1,72,144,648,72,144,648,720,720,1.0
3,Not Available,4,53,TCH,TCHC,4155611,59  EDGEWOOD AVE ,19,1956,2001,2017,,,59 EDGEWOOD AVE,43.6716543566,-79.3130970785,POINT (-79.3130970785 43.6716543566),19,Beaches-East York,Beaches-East York (19),064,Woodbine Corridor,Not an NIA or Emerging Neighbourhood,NA,1,6,11,48,6,11,48,54,54,1.0
4,20 indoor parking spots and 0 outdoor parking spots,6,126,AYKLER REAL ESTATE INC,SOCIAL HOUSING,4155614,1577  DANFORTH AVE ,19,1991,2013,2019,20,0,695 COXWELL AVE,43.6831806444,-79.3230461793,POINT (-79.3230461793 43.6831806444),19,Beaches-East York,Beaches-East York (19),064,Woodbine Corridor,Not an NIA or Emerging Neighbourhood,NA,1,13,26,114,13,26,94,107,127,0.84251968503937
5,Not Available,24,374,TCH,TCHC,4155618,15  TOBERMORY DR ,07,1972,1994,2017,,,15 TOBERMORY DR,43.760168119,-79.507896791,POINT (-79.507896791 43.760168119),07,Humber River-Black Creek,Humber River-Black Creek (07),024,Black Creek,Neighbourhood Improvement Area,NIA,2,14,27,255,14,27,255,269,269,1.0
6,24 indoor parking spots and 0 outdoor parking spots,7,74,HOMESTEAD LAND HOLDINGS LIMITED,PRIVATE,4156639,1761  SHEPPARD AVE E,17,2010,,2017,24,0,1761 SHEPPARD AVE E,43.775609539,-79.343036945,POINT (-79.343036945 43.775609539),17,Don Valley North,Don Valley North (17),053,Henry Farm,Not an NIA or Emerging Neighbourhood,NA,2,3,6,51,3,6,27,30,54,0.5555555555555556
7,Not Available,10,155,TCH,TCHC,4156706,230  SACKVILLE ST ,13,2013,,2017,,,230 SACKVILLE ST,43.659745976663565,-79.36313700180729,POINT (-79.36313700180729 43.659745976663565),13,Toronto Centre,Toronto Centre (13),072,Regent Park,Neighbourhood Improvement Area,NIA,1,16,31,140,16,31,140,156,156,1.0
8,36 indoor parking spots and 0 outdoor parking spots,12,153,BERNADA PROPERTIES,PRIVATE,4154101,150  COSBURN AVE ,14,1962,2010,2017,36,0,150 COSBURN AVE,43.6902830528,-79.3461159995,POINT (-79.3461159995 43.6902830528),14,Toronto-Danforth,Toronto-Danforth (14),058,Old East York,Not an NIA or Emerging Neighbourhood,NA,1,16,31,138,16,31,102,118,154,0.7662337662337663
9,Not Available,12,155,ENDERBY DEVELOPMENTS LIMITED,PRIVATE,4154112,55  COSBURN AVE ,14,1973,2005,2017,,,55 COSBURN AVE,43.688483646,-79.351998695,POINT (-79.351998695 43.688483646),14,Toronto-Danforth,Toronto-Danforth (14),057,Broadview North,Not an NIA or Emerging Neighbourhood,NA,1,16,31,140,16,31,140,156,156,1.0
10,Not Available,4,28,WESTDALE PROPERTIES,PRIVATE,4154595,3884  BATHURST ST ,06,1960,,2017,,,3884 BATHURST ST,43.7422578587,-79.4357863772,POINT (-79.4357863772 43.7422578587),06,York Centre,York Centre (06),033,Clanton Park,Not an NIA or Emerging Neighbourhood,NA,2,1,2,20,1,2,20,21,21,1.0
11,Not Available,3,16,HANNAH GROUP,PRIVATE,4154602,4110  BATHURST ST ,06,1950,,2017,,,4110 BATHURST ST,43.74586214,-79.4365128127,POINT (-79.4365128127 43.74586214),06,York Centre,York Centre (06),033,Clanton Park,Not an NIA or Emerging Neighbourhood,NA,2,1,2,11,1,2,11,12,12,1.0
12,Not Available,11,164,GREENWIN CORP.,SOCIAL HOUSING,4154608,4300  BATHURST ST ,06,1989,,2017,,,4300 BATHURST ST,43.7528909884,-79.4382283415,POINT (-79.4382283415 43.7528909884),06,York Centre,York Centre (06),033,Clanton Park,Not an NIA or Emerging Neighbourhood,NA,2,6,12,112,6,12,112,118,118,1.0
13,Not Available,4,16,FIRM CAPITAL,PRIVATE,4154614,1042  SHEPPARD AVE W,06,1950,,2017,,,1042 SHEPPARD AVE W,43.7508224875,-79.4620209197,POINT (-79.4620209197 43.7508224875),06,York Centre,York Centre (06),034,Bathurst Manor,Not an NIA or Emerging Neighbourhood,NA,2,1,2,11,1,2,11,12,12,1.0
14,Not Available,3,12,SAROSSA INVESTMENTS INC,PRIVATE,4154615,229  PANNAHILL RD ,06,1950,,2017,,,229 PANNAHILL RD,43.7603575234,-79.4631757419,POINT (-79.4631757419 43.7603575234),06,York Centre,York Centre (06),034,Bathurst Manor,Not an NIA or Emerging Neighbourhood,NA,2,1,1,9,1,1,9,10,10,1.0
15,Not Available,7,61,GREENWIN CORP.,SOCIAL HOUSING,4154620,15  TORRESDALE AVE ,06,1994,,2017,,,15 TORRESDALE AVE,43.7734806321,-79.4511037364,POINT (-79.4511037364 43.7734806321),06,York Centre,York Centre (06),035,Westminster-Branson,Emerging Neighbourhood,EN,2,3,5,42,3,5,42,45,45,1.0
16,Not Available,3,12,KNRS PROPERTIES INC.,PRIVATE,4155104,96  TRETHEWEY DR ,05,1956,,2017,,,96 TRETHEWEY DR,43.6934951479,-79.4820055643,POINT (-79.4820055643 43.6934951479),05,York South-Weston,York South-Weston (05),112,Beechborough-Greenbrook,Neighbourhood Improvement Area,NIA,1,2,3,11,2,3,11,13,13,1.0
17,Not Available,3,12,SOTAM INVESTMENT GROUP LIMITED,PRIVATE,4155105,5  GREENBROOK DR ,05,1970,,2023,,,5 GREENBROOK DR,43.6964928212,-79.4764300653,POINT (-79.4764300653 43.6964928212),05,York South-Weston,York South-Weston (05),112,Beechborough-Greenbrook,Neighbourhood Improvement Area,NIA,1,2,3,11,2,3,11,13,13,1.0
18,Not Available,3,13,DEL MANAGMENT,TCHC,4155623,1620  LAWRENCE AVE W,05,1955,,2017,,,1620 LAWRENCE AVE W,43.7064506482,-79.4893217524,POINT (-79.4893217524 43.7064506482),05,York South-Weston,York South-Weston (05),028,Rustic,Neighbourhood Improvement Area,NIA,2,1,1,9,1,1,9,10,10,1.0
19,Not Available,4,30,TCH,TCHC,4155633,6  REPLIN RD ,08,1957,,2017,,,6 REPLIN RD,43.7172142452,-79.4429757151,POINT (-79.4429757151 43.7172142452),08,Eglinton-Lawrence,Eglinton-Lawrence (08),032,Englemount-Lawrence,Emerging Neighbourhood,EN,2,2,3,21,2,3,21,23,23,1.0
20,Not Available,3,31,TCH,TCHC,4155635,1  REPLIN RD ,08,1957,,2017,,,1 REPLIN RD,43.719043907,-79.4433371886,POINT (-79.4433371886 43.719043907),08,Eglinton-Lawrence,Eglinton-Lawrence (08),032,Englemount-Lawrence,Emerging Neighbourhood,EN,2,2,3,22,2,3,22,24,24,1.0
21,Not Available,3,31,TCH,TCHC,4155638,1  FLEMINGTON RD ,08,1957,,2017,,,1 FLEMINGTON RD,43.719074422,-79.441290791,POINT (-79.441290791 43.719074422),08,Eglinton-Lawrence,Eglinton-Lawrence (08),032,Englemount-Lawrence,Emerging Neighbourhood,EN,2,2,3,22,2,3,22,24,24,1.0
22,Not Available,3,31,TCH,TCHC,4155639,22  VARNA DR ,08,1957,,2017,,,22 VARNA DR,43.7196194362,-79.4407985931,POINT (-79.4407985931 43.7196194362),08,Eglinton-Lawrence,Eglinton-Lawrence (08),032,Englemount-Lawrence,Emerging Neighbourhood,EN,2,2,3,22,2,3,22,24,24,1.0
23,Not Available,4,34,FIRM CAPITAL PROPERTIES INC,PRIVATE,4156721,2515  EGLINTON AVE W,05,1950,,2017,,,2515 EGLINTON AVE W,43.69095169,-79.470613783,POINT (-79.470613783 43.69095169),05,York South-Weston,York South-Weston (05),110,Keelesdale-Eglinton West,Neighbourhood Improvement Area,NIA,1,4,7,31,4,7,31,35,35,1.0
24,40 indoor parking spots and 25 outdoor parking spots,4,87,HOUSELINK COMMUNITY HOMES,SOCIAL HOUSING,4156726,40  OAK ST ,13,2012,,2017,40,25,40 OAK ST,43.66145770303477,-79.36538499885617,POINT (-79.36538499885617 43.66145770303477),13,Toronto Centre,Toronto Centre (13),072,Regent Park,Neighbourhood Improvement Area,NIA,1,9,18,79,-16,-7,39,23,88,0.26136363636363635
25,Not Available,21,210,DEL MANAGMENT,TCHC,4156756,2468  EGLINTON AVE W,05,1989,2010,2017,,,2468 EGLINTON AVE W,43.69202835,-79.468140737,POINT (-79.468140737 43.69202835),05,York South-Weston,York South-Weston (05),112,Beechborough-Greenbrook,Neighbourhood Improvement Area,NIA,1,21,42,189,21,42,189,210,210,1.0
26,Not Available,6,77,GREENWIN CORP.,SOCIAL HOUSING,4154144,23  THORNCLIFFE PARK DR ,15,1975,,2017,,,23 THORNCLIFFE PARK DR,43.7031497325,-79.3474623763,POINT (-79.3474623763 43.7031497325),15,Don Valley West,Don Valley West (15),055,Thorncliffe Park,Neighbourhood Improvement Area,NIA,1,8,16,70,8,16,70,78,78,1.0
27,Not Available,6,82,COLONIA TREUHAND MANAGEMENT INC.,PRIVATE,4154147,6  MILEPOST PL ,15,1955,2015,2017,,,6 MILEPOST PL,43.702214085,-79.34780065,POINT (-79.34780065 43.702214085),15,Don Valley West,Don Valley West (15),055,Thorncliffe Park,Neighbourhood Improvement Area,NIA,1,9,17,74,9,17,74,83,83,1.0
28,Not Available,12,117,EMBEE PROPERTIES LIMITED,PRIVATE,4154628,18  CEDARCROFT BLVD ,06,1965,2009,2017,,,18 CEDARCROFT BLVD,43.7839479718,-79.4474754127,POINT (-79.4474754127 43.7839479718),06,York Centre,York Centre (06),035,Westminster-Branson,Emerging Neighbourhood,EN,2,5,9,80,5,9,80,85,85,1.0
29,Not Available,10,81,STERLING KARAMAR PROPERTY MANAGEMENT,PRIVATE,4154648,4866  BATHURST ST ,06,1963,2017,2017,,,4866 BATHURST ST,43.7716015203,-79.4431815969,POINT (-79.4431815969 43.7716015203),06,York Centre,York Centre (06),035,Westminster-Branson,Emerging Neighbourhood,EN,2,3,6,56,3,6,56,59,59,1.0
30,Not Available,4,70,REALSTAR,PRIVATE,4154651,4  MASCOT PL ,06,1962,2015,2017,,,4 MASCOT PL,43.7703715796,-79.4436799328,POINT (-79.4436799328 43.7703715796),06,York Centre,York Centre (06),035,Westminster-Branson,Emerging Neighbourhood,EN,2,3,5,48,3,5,48,51,51,1.0
31,Not Available,24,419,STATE BUILDING GROUP,PRIVATE,4155132,65  EMMETT AVE ,05,1971,2013,2017,,,65 EMMETT AVE,43.6880415754,-79.5040797855,POINT (-79.5040797855 43.6880415754),05,York South-Weston,York South-Weston (05),115,Mount Dennis,Neighbourhood Improvement Area,NIA,1,42,84,378,42,84,378,420,420,1.0
32,Not Available,3,10,DEVNETT COMPANY,PRIVATE,4155146,139  WOODWARD AVE ,05,1945,,2018,,,139 WOODWARD AVE,43.7096316006,-79.5071555325,POINT (-79.5071555325 43.7096316006),05,York South-Weston,York South-Weston (05),113,Weston,Neighbourhood Improvement Area,NIA,2,1,1,7,1,1,7,8,8,1.0
33,Not Available,12,162,TCH,TCHC,4155705,2067  ISLINGTON AVE ,01,1973,2000,2017,,,2067 ISLINGTON AVE,43.702256035,-79.548440591,POINT (-79.548440591 43.702256035),01,Etobicoke North,Etobicoke North (01),006,Kingsview Village-The Westway,Neighbourhood Improvement Area,NIA,2,6,12,111,6,12,111,117,117,1.0
34,Not Available,3,14,DEL MANAGMENT,TCHC,4155707,27  SCARLETTWOOD CRT ,02,1970,,2017,,,27 SCARLETTWOOD CRT,43.693274018,-79.516001007,POINT (-79.516001007 43.693274018),02,Etobicoke Centre,Etobicoke Centre (02),008,Humber Heights-Westmount,Emerging Neighbourhood,EN,2,1,1,10,1,1,10,11,11,1.0
35,0 indoor parking spots and 10 outdoor parking spots,22,263,GREENWIN CORP.,PRIVATE,4155712,44  VALLEY WOODS RD ,16,1965,2010,2017,0,10,44 VALLEY WOODS RD,43.754645001,-79.333436109,POINT (-79.333436109 43.754645001),16,Don Valley East,Don Valley East (16),150,Fenside-Parkwoods,Not an NIA or Emerging Neighbourhood,NA,2,10,19,179,0,9,179,179,189,0.9470899470899471
36,Not Available,5,128,TCH,TCHC,4155726,33  COATSWORTH CRES ,19,1989,,2017,,,33 COATSWORTH CRES,43.6792629925,-79.3201512401,POINT (-79.3201512401 43.6792629925),19,Beaches-East York,Beaches-East York (19),064,Woodbine Corridor,Not an NIA or Emerging Neighbourhood,NA,1,13,26,116,13,26,116,129,129,1.0
37,0 indoor parking spots and 12 outdoor parking spots,3,12,,PRIVATE,4155728,318  CLINTON ST ,11,1970,,2018,0,12,318 CLINTON ST,43.662511227,-79.417002758,POINT (-79.417002758 43.662511227),11,University-Rosedale,University-Rosedale (11),080,Palmerston-Little Italy,Not an NIA or Emerging Neighbourhood,NA,1,2,3,11,-10,-9,11,1,13,0.07692307692307693
38,50 indoor parking spots and 18 outdoor parking spots,4,16,GREENWIN CORP.,PRIVATE,4155743,3015-3017  QUEEN ST E,20,1954,,2017,50,18,3015 D QUEEN ST E,43.6747055108,-79.2773893392,POINT (-79.2773893392 43.6747055108),20,Scarborough Southwest,Scarborough Southwest (20),122,Birchcliffe-Cliffside,Not an NIA or Emerging Neighbourhood,NA,2,1,2,11,-17,-16,-39,-56,12,-4.666666666666667
39,0 indoor parking spots and 16 outdoor parking spots,11,131,MEDALLION CORPORATION,PRIVATE,4167764,544  BIRCHMOUNT RD ,20,1969,2015,2017,0,16,544 BIRCHMOUNT RD,43.711075654,-79.270595187,POINT (-79.270595187 43.711075654),20,Scarborough Southwest,Scarborough Southwest (20),120,Clairlea-Birchmount,Not an NIA or Emerging Neighbourhood,NA,2,5,10,90,-11,-6,90,79,95,0.8315789473684211
40,Not Available,3,11,,PRIVATE,4152580,27  GLEN EVEREST RD ,20,1971,,2017,,,27 GLEN EVEREST RD,43.7005566696,-79.2528798583,POINT (-79.2528798583 43.7005566696),20,Scarborough Southwest,Scarborough Southwest (20),122,Birchcliffe-Cliffside,Not an NIA or Emerging Neighbourhood,NA,2,1,1,8,1,1,8,9,9,1.0
41,Not Available,3,13,NORTH 44 PROPERTY MANAGEMENT INC,PRIVATE,4152582,4  FOLCROFT AVE ,20,1960,,2017,,,4 FOLCROFT AVE,43.701030915,-79.25119809,POINT (-79.25119809 43.701030915),20,Scarborough Southwest,Scarborough Southwest (20),122,Birchcliffe-Cliffside,Not an NIA or Emerging Neighbourhood,NA,2,1,1,9,1,1,9,10,10,1.0
42,10 indoor parking spots and 0 outdoor parking spots,3,10,,PRIVATE,4154189,872  MILLWOOD RD ,15,1939,,2019,10,0,872 MILLWOOD RD,43.704097821,-79.365180559,POINT (-79.365180559 43.704097821),15,Don Valley West,Don Valley West (15),056,Leaside-Bennington,Not an NIA or Emerging Neighbourhood,NA,1,1,2,9,1,2,-1,0,10,0.0
43,0 indoor parking spots and 5 outdoor parking spots,6,49,JERUDAN DEVELOPMENTS LIMITED,PRIVATE,4154192,972  EGLINTON AVE E,15,1962,2012,2017,0,5,972 EGLINTON AVE E,43.715531981,-79.357969447,POINT (-79.357969447 43.715531981),15,Don Valley West,Don Valley West (15),056,Leaside-Bennington,Not an NIA or Emerging Neighbourhood,NA,1,5,10,45,0,5,45,45,50,0.9
44,0 indoor parking spots and 6 outdoor parking spots,4,50,JERUDAN DEVELOPMENTS LIMITED,PRIVATE,4154193,970  EGLINTON AVE E,15,1965,2007,2017,0,6,970 EGLINTON AVE E,43.715346487,-79.358584186,POINT (-79.358584186 43.715346487),15,Don Valley West,Don Valley West (15),056,Leaside-Bennington,Not an NIA or Emerging Neighbourhood,NA,1,5,10,45,-1,4,45,44,50,0.88
45,0 indoor parking spots and 8 outdoor parking spots,3,24,HANNAH PROPERTY MANAGEMENT LTD.,PRIVATE,4154198,958  EGLINTON AVE E,15,1945,,2017,0,8,958 EGLINTON AVE E,43.714859025,-79.36014009,POINT (-79.36014009 43.714859025),15,Don Valley West,Don Valley West (15),056,Leaside-Bennington,Not an NIA or Emerging Neighbourhood,NA,1,3,5,22,-5,-3,22,17,25,0.68
46,Not Available,4,37,TRIVEST DEVELOPMENTS CORPORATION,PRIVATE,4154203,892  EGLINTON AVE E,15,1961,,2017,,,892 EGLINTON AVE E,43.7140370349,-79.3641217353,POINT (-79.3641217353 43.7140370349),15,Don Valley West,Don Valley West (15),056,Leaside-Bennington,Not an NIA or Emerging Neighbourhood,NA,1,4,8,34,4,8,34,38,38,1.0
47,14 indoor parking spots and 0 outdoor parking spots,4,20,,PRIVATE,4154206,1911  BAYVIEW AVE ,15,1911,,2018,14,0,1911 BAYVIEW AVE,43.7159928067,-79.3775463517,POINT (-79.3775463517 43.7159928067),15,Don Valley West,Don Valley West (15),056,Leaside-Bennington,Not an NIA or Emerging Neighbourhood,NA,1,2,4,18,2,4,4,6,20,0.3
48,Not Available,12,112,REALSTAR,PRIVATE,4154695,555  SHEPPARD AVE W,06,1966,2000,2017,,,555 SHEPPARD AVE W,43.755642859,-79.4356157794,POINT (-79.4356157794 43.755642859),06,York Centre,York Centre (06),038,Lansing-Westgate,Not an NIA or Emerging Neighbourhood,NA,2,4,8,77,4,8,77,81,81,1.0
49,0 indoor parking spots and 7 outdoor parking spots,21,117,GREENWIN ICORP.,PRIVATE,4154698,15  CANYON AVE ,06,1962,1993,2017,0,7,15 CANYON AVE,43.757154574,-79.436224864,POINT (-79.436224864 43.757154574),06,York Centre,York Centre (06),034,Bathurst Manor,Not an NIA or Emerging Neighbourhood,NA,2,5,9,80,-2,2,80,78,85,0.9176470588235294
50,25 indoor parking spots and 0 outdoor parking spots,6,90,GREENWIN CORP.,SOCIAL HOUSING,4154719,6091  BATHURST ST ,18,1982,,2017,25,0,6091 BATHURST ST,43.787160745,-79.4456380716,POINT (-79.4456380716 43.787160745),18,Willowdale,Willowdale (18),036,Newtonbrook West,Not an NIA or Emerging Neighbourhood,NA,2,4,7,62,4,7,37,41,66,0.6212121212121212
51,Not Available,5,40,SKYVIEW MANAGEMENT LTD.,PRIVATE,4155199,900  JANE ST ,05,1968,,2017,,,900 JANE ST,43.6782330421,-79.4969313119,POINT (-79.4969313119 43.6782330421),05,York South-Weston,York South-Weston (05),111,Rockcliffe-Smythe,Neighbourhood Improvement Area,NIA,1,4,8,36,4,8,36,40,40,1.0
52,Not Available,12,208,AYKLER REAL ESTATE INC.,SOCIAL HOUSING,4155202,4049  DUNDAS ST W,04,1990,2004,2017,,,4049 DUNDAS ST W,43.6634553526,-79.5037202734,POINT (-79.5037202734 43.6634553526),04,Parkdale-High Park,Parkdale-High Park (04),114,Lambton Baby Point,Not an NIA or Emerging Neighbourhood,NA,1,21,42,188,21,42,188,209,209,1.0
53,Not Available,8,29,HANNAH PROPERTY MANAGEMENT LTD.,PRIVATE,4155205,4029  OLD DUNDAS ST ,04,1959,2021,2017,,,4029 OLD DUNDAS ST,43.6639708719,-79.5021353711,POINT (-79.5021353711 43.6639708719),04,Parkdale-High Park,Parkdale-High Park (04),114,Lambton Baby Point,Not an NIA or Emerging Neighbourhood,NA,1,3,6,27,3,6,27,30,30,1.0
54,0 indoor parking spots and 9 outdoor parking spots,3,22,,PRIVATE,4155215,100  BROWNS LINE ,03,1954,,2017,0,9,100 BROWNS LINE,43.595211507,-79.542969424,POINT (-79.542969424 43.595211507),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),020,Alderwood,Not an NIA or Emerging Neighbourhood,NA,2,1,2,15,-8,-7,15,7,16,0.4375
55,Not Available,5,24,CLV GROUP,PRIVATE,4155216,765  BROWNS LINE ,03,1962,,2017,,,765 BROWNS LINE,43.6083356867,-79.5473887151,POINT (-79.5473887151 43.6083356867),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),020,Alderwood,Not an NIA or Emerging Neighbourhood,NA,2,1,2,17,1,2,17,18,18,1.0
56,Not Available,3,21,SHAHUKAR PROPERTIES CORP,PRIVATE,4155764,1 A  BIRCHLEA AVE ,03,1955,,2019,,,1 A BIRCHLEA AVE,43.5927621745,-79.527405433,POINT (-79.527405433 43.5927621745),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),019,Long Branch,Not an NIA or Emerging Neighbourhood,NA,2,1,2,15,1,2,15,16,16,1.0
57,0 indoor parking spots and 14 outdoor parking spots,10,133,BRIARLANE RENTAL PROPERTY MANAGEMENT INC.,PRIVATE,4155769,2323  LAKE SHORE BLVD W,03,1960,2004,2017,0,14,2323 LAKE SHORE BLVD W,43.6169356849,-79.4866758705,POINT (-79.4866758705 43.6169356849),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),161,Humber Bay Shores,Not an NIA or Emerging Neighbourhood,NA,2,5,10,91,-9,-4,91,82,96,0.8541666666666666
58,0 indoor parking spots and 14 outdoor parking spots,10,133,BRIARLANE RENTAL PROPERTY MANAGEMENT INC.,PRIVATE,4155770,2313  LAKE SHORE BLVD W,03,1960,2004,2017,0,14,2313 LAKE SHORE BLVD W,43.617341413,-79.486574349,POINT (-79.486574349 43.617341413),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),161,Humber Bay Shores,Not an NIA or Emerging Neighbourhood,NA,2,5,10,91,-9,-4,91,82,96,0.8541666666666666
59,Not Available,12,248,BARNEY RIVER ,PRIVATE,4155773,100  ROWENA DR ,16,1966,,2017,,,100 ROWENA DR,43.7517238195,-79.3143707442,POINT (-79.3143707442 43.7517238195),16,Don Valley East,Don Valley East (16),149,Parkwoods-O'Connor Hills,Not an NIA or Emerging Neighbourhood,NA,2,9,18,169,9,18,169,178,178,1.0
60,10 indoor parking spots and 10 outdoor parking spots,4,38,ADVENT PROPERTY MANAGEMENT SERVICES,PRIVATE,4155794,1215  BAYVIEW AVE ,15,1940,2016,2017,10,10,1215 BAYVIEW AVE,43.6972709992,-79.3716069474,POINT (-79.3716069474 43.6972709992),15,Don Valley West,Don Valley West (15),056,Leaside-Bennington,Not an NIA or Emerging Neighbourhood,NA,1,4,8,35,-6,-2,25,19,39,0.48717948717948717
61,0 indoor parking spots and 3 outdoor parking spots,11,263,SHEPHERD VILALGE INC,PRIVATE,4155796,125  BONIS AVE ,22,1976,2013,2017,0,3,125 BONIS AVE,43.78385662,-79.294501805,POINT (-79.294501805 43.78385662),22,Scarborough-Agincourt,Scarborough-Agincourt (22),118,Tam O'Shanter-Sullivan,Not an NIA or Emerging Neighbourhood,NA,2,10,19,179,7,16,179,186,189,0.9841269841269841
62,Not Available,7,102,TCH,TCHC,4155800,140  THE ESPLANADE  ,13,1993,,2017,,,140 THE ESPLANADE,43.648548433,-79.370253431,POINT (-79.370253431 43.648548433),13,Toronto Centre,Toronto Centre (13),166,St Lawrence-East Bayfront-The Islands,Not an NIA or Emerging Neighbourhood,NA,1,11,21,92,11,21,92,103,103,1.0
63,0 indoor parking spots and 7 outdoor parking spots,21,117,GREENWIN INC.,PRIVATE,4168793,25  CANYON AVE ,06,1962,1993,2017,0,7,25 CANYON AVE,43.757154574,-79.436224864,POINT (-79.436224864 43.757154574),06,York Centre,York Centre (06),034,Bathurst Manor,Not an NIA or Emerging Neighbourhood,NA,2,5,9,80,-2,2,80,78,85,0.9176470588235294
64,0 indoor parking spots and 48 outdoor parking spots,8,200,DMS PROPERTY MANAGEMENT LTD.,SOCIAL HOUSING,4168942,345  DUFFERIN ST ,10,1984,2014,2017,0,48,345 DUFFERIN ST,43.6410875936,-79.4277040009,POINT (-79.4277040009 43.6410875936),10,Spadina-Fort York,Spadina-Fort York (10),085,South Parkdale,Neighbourhood Improvement Area,NIA,1,20,40,180,-28,-8,180,152,200,0.76
65,Not Available,3,15,,PRIVATE,4169241,42  VAUGHAN RD ,12,1928,,2017,,,42 VAUGHAN RD,43.68218998,-79.4195011613,POINT (-79.4195011613 43.68218998),12,Toronto-St. Paul's,Toronto-St. Paul's (12),094,Wychwood,Not an NIA or Emerging Neighbourhood,NA,1,2,3,14,2,3,14,16,16,1.0
66,0 indoor parking spots and 8 outdoor parking spots,4,13,GREENWIN CORP.,PRIVATE,4152556,2406  QUEEN ST E,20,1937,,2017,0,8,2406 QUEEN ST E,43.6747748062,-79.2796021139,POINT (-79.2796021139 43.6747748062),20,Scarborough Southwest,Scarborough Southwest (20),122,Birchcliffe-Cliffside,Not an NIA or Emerging Neighbourhood,NA,2,1,1,9,-7,-7,9,2,10,0.2
67,15 indoor parking spots and 0 outdoor parking spots,5,61,GREENWIN CORP.,PRIVATE,4152571,1200  KINGSTON RD ,20,1956,,2017,15,0,1200 KINGSTON RD,43.6821685941,-79.2802892859,POINT (-79.2802892859 43.6821685941),20,Scarborough Southwest,Scarborough Southwest (20),122,Birchcliffe-Cliffside,Not an NIA or Emerging Neighbourhood,NA,2,3,5,42,3,5,27,30,45,0.6666666666666666
68,15 indoor parking spots and 0 outdoor parking spots,12,89,GLEN CORPORATION,PRIVATE,4153374,160  BALMORAL AVE ,12,1965,2011,2017,15,0,160 BALMORAL AVE,43.684495214,-79.4010047716,POINT (-79.4010047716 43.684495214),12,Toronto-St. Paul's,Toronto-St. Paul's (12),096,Casa Loma,Not an NIA or Emerging Neighbourhood,NA,1,9,18,81,9,18,66,75,90,0.8333333333333334
69,39 indoor parking spots and 0 outdoor parking spots,19,228,BRIARLANE RENTAL PROPERTY MANAGEMENT INC.,PRIVATE,4153376,350  QUEENS QUAY  W,10,1987,2009,2017,39,0,350 QUEENS QUAY W,43.6386874748,-79.3891530101,POINT (-79.3891530101 43.6386874748),10,Spadina-Fort York,Spadina-Fort York (10),165,Harbourfront-CityPlace,Not an NIA or Emerging Neighbourhood,NA,1,23,46,206,23,46,167,190,229,0.8296943231441049
70,100 indoor parking spots and 10 outdoor parking spots,9,205,AFFORDABLE PROPERTY MANAGEMENT,SOCIAL HOUSING,4153389,110  THE ESPLANADE  ,13,1993,,2018,100,10,110 THE ESPLANADE,43.6480302618,-79.3723912336,POINT (-79.3723912336 43.6480302618),13,Toronto Centre,Toronto Centre (13),166,St Lawrence-East Bayfront-The Islands,Not an NIA or Emerging Neighbourhood,NA,1,21,41,185,11,31,85,96,206,0.46601941747572817
