,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SITE_ADDRESS_x,WARD,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,bike_parking_indoor,bike_parking_outdoor,SITE_ADDRESS_y,LATITUDE,LONGITUDE,geometry,ward_code,ward_name,ward_full,neighbourhood_number,neighbourhood_name,neighbourhood_classification,neighbourhood_classification_code,BICYCLE_ZONE,short_term_min,short_term_max,long_term,short_term_min_unmet,short_term_max_unmet,long_term_unmet,total_unmet_min,total_req_min,pc_unmet
2382,Not Available,3,26,RANEE MANAGEMENT,PRIVATE,4154029,41  LORINDALE AVE ,08,1957,,2017,,,41 LORINDALE AVE,43.7260668342,-79.4036329242,POINT (-79.4036329242 43.7260668342),08,Eglinton-Lawrence,Eglinton-Lawrence (08),105,Lawrence Park North,Not an NIA or Emerging Neighbourhood,NA,2,1,2,18,1,2,18,19,19,1.0
2383,Not Available,4,27,RKH INVESTMENT LTD ,PRIVATE,4154031,3474  YONGE ST ,08,1940,,2017,,,3474 YONGE ST,43.734987603,-79.405127399,POINT (-79.405127399 43.734987603),08,Eglinton-Lawrence,Eglinton-Lawrence (08),105,Lawrence Park North,Not an NIA or Emerging Neighbourhood,NA,2,1,2,19,1,2,19,20,20,1.0
2384,Not Available,7,132,RANEE MANAGEMENT,PRIVATE,4154035,102  GOODWOOD PARK CRT ,19,1960,,2017,,,102 GOODWOOD PARK CRT,43.695541815,-79.296047547,POINT (-79.296047547 43.695541815),19,Beaches-East York,Beaches-East York (19),061,Taylor-Massey,Neighbourhood Improvement Area,NIA,1,14,27,119,14,27,119,133,133,1.0
2385,0 indoor parking spots and 20 outdoor parking spots,29,584,PINEDALE PROPERTIES LTD,PRIVATE,4154037,7  CRESCENT PL ,19,1971,2006,2017,0,20,7 CRESCENT PL,43.695055074,-79.291784761,POINT (-79.291784761 43.695055074),19,Beaches-East York,Beaches-East York (19),061,Taylor-Massey,Neighbourhood Improvement Area,NIA,1,59,117,526,39,97,526,565,585,0.9658119658119658
2386,Not Available,8,88,,PRIVATE,4153497,85  WELLESLEY ST E,13,1965,2015,2018,,,85 WELLESLEY ST E,43.6656716445,-79.3798985663,POINT (-79.3798985663 43.6656716445),13,Toronto Centre,Toronto Centre (13),167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,NA,1,9,18,80,9,18,80,89,89,1.0
2387,40 indoor parking spots and 0 outdoor parking spots,8,71,BERKLEY PROPERTY MANAGEMENT INC.,PRIVATE,4153509,88  WELLESLEY ST E,13,1960,,2017,40,0,88 WELLESLEY ST E,43.6662506335,-79.3798674479,POINT (-79.3798674479 43.6662506335),13,Toronto Centre,Toronto Centre (13),167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,NA,1,8,15,64,8,15,24,32,72,0.4444444444444444
2388,Not Available,5,60,TRIBE MANAGEMENT INC.,PRIVATE,4153513,64  WELLESLEY ST E,13,1929,,2017,,,64 WELLESLEY ST E,43.665901023,-79.381806918,POINT (-79.381806918 43.665901023),13,Toronto Centre,Toronto Centre (13),167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,NA,1,6,12,54,6,12,54,60,60,1.0
2389,Not Available,21,250,QUADREAL PROPERTY GROUP,PRIVATE,4153516,57  CHARLES ST W,11,1977,2013,2017,,,57 CHARLES ST W,43.667772301,-79.389524395,POINT (-79.389524395 43.667772301),11,University-Rosedale,University-Rosedale (11),169,Bay-Cloverhill,Not an NIA or Emerging Neighbourhood,NA,1,25,50,225,25,50,225,250,250,1.0
2390,Not Available,6,65,AKELIUS CANADA LTD,PRIVATE,4154048,612  DAWES RD ,19,1959,2005,2017,,,612 DAWES RD,43.707368794,-79.295895516,POINT (-79.295895516 43.707368794),19,Beaches-East York,Beaches-East York (19),054,O'Connor-Parkview,Not an NIA or Emerging Neighbourhood,NA,1,7,13,59,7,13,59,66,66,1.0
2391,Not Available,6,84,,PRIVATE,4154049,608  DAWES RD ,19,1959,2018,2018,,,608 DAWES RD,43.706994795,-79.295836771,POINT (-79.295836771 43.706994795),19,Beaches-East York,Beaches-East York (19),054,O'Connor-Parkview,Not an NIA or Emerging Neighbourhood,NA,1,9,17,76,9,17,76,85,85,1.0
